ticker,HCA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-03-10,3.4
2011-03-11,0.3224
2011-03-14,-0.6748
2011-03-15,1.3911
2011-03-16,-0.2872
2011-03-17,2.112
2011-03-18,3.6039
2011-03-21,-2.4501
2011-03-22,-1.1783
2011-03-23,2.5416
2011-03-24,0.0306
2011-03-25,0.7954
2011-03-28,0.2731
2011-03-29,2.5726
2011-03-30,1.0328
2011-03-31,-1.0806
2011-04-01,-0.3838
2011-04-04,-0.2075
2011-04-05,1.0395
2011-04-06,-2.1164
2011-04-07,1.0811
2011-04-08,-1.4557
2011-04-11,-3.1655
2011-04-12,-1.8369
2011-04-13,1.6808999999999998
2011-04-14,0.2495
2011-04-15,-0.4978
2011-04-18,0.3127
2011-04-19,-1.0599
2011-04-20,-0.2836
2011-04-21,-0.7899
2011-04-25,0.0
2011-04-26,1.9108
2011-04-27,2.0313
2011-04-28,-0.245
2011-04-29,0.7062
2011-05-02,1.9512
2011-05-03,-2.4821
2011-05-04,2.8826
2011-05-05,2.3547000000000002
2011-05-06,-0.2621
2011-05-09,0.7007
2011-05-10,0.2899
2011-05-11,-0.1446
2011-05-12,-0.0869
2011-05-13,0.2608
2011-05-16,-1.0116
2011-05-17,0.8467
2011-05-18,1.5345
2011-05-19,-0.057
2011-05-20,-1.1983
2011-05-23,-0.6353
2011-05-24,0.2325
2011-05-25,0.5509
2011-05-26,0.4325
2011-05-27,-0.2584
2011-05-31,0.4318
2011-06-01,-0.3439
2011-06-02,-1.1792
2011-06-03,-0.6403
2011-06-06,-1.1716
2011-06-07,2.3118
2011-06-08,0.6952
2011-06-09,1.3809
2011-06-10,-3.8025
2011-06-13,-0.7375
2011-06-14,-0.3269
2011-06-15,-1.1628
2011-06-16,2.1719
2011-06-17,2.1258
2011-06-20,-1.0408
2011-06-21,-0.9641
2011-06-22,-1.4159
2011-06-23,-0.6284
2011-06-24,-2.8907
2011-06-27,0.7132
2011-06-28,0.8313
2011-06-29,0.0305
2011-06-30,0.7326
2011-07-01,0.1818
2011-07-05,0.3327
2011-07-06,2.4721
2011-07-07,0.8826
2011-07-08,-1.3415
2011-07-11,-2.2761
2011-07-12,-0.7864
2011-07-13,1.3415
2011-07-14,-0.0602
2011-07-15,0.0
2011-07-18,-1.8963999999999999
2011-07-19,1.3501
2011-07-20,0.6661
2011-07-21,3.5489
2011-07-22,0.5228
2011-07-25,-19.1852
2011-07-26,0.2503
2011-07-27,-2.3894
2011-07-28,-0.548
2011-07-29,-1.9838
