ticker,CAC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-2.9851
2000-01-04,-0.3846
2000-01-05,0.7722
2000-01-06,0.3831
2000-01-07,1.5267
2000-01-10,0.7519
2000-01-11,-1.8657
2000-01-12,-1.749
2000-01-13,-0.3906
2000-01-14,-1.9607999999999999
2000-01-18,0.8
2000-01-19,-1.5873
2000-01-20,-0.8065
2000-01-21,-1.2195
2000-01-24,-2.0576
2000-01-25,2.521
2000-01-26,-1.6393
2000-01-27,0.0
2000-01-28,-5.4167
2000-01-31,-0.4405
2000-02-01,3.5398
2000-02-02,0.0
2000-02-03,-0.8547
2000-02-04,0.0
2000-02-07,0.0
2000-02-08,-0.8621
2000-02-09,3.4783
2000-02-10,-0.8403
2000-02-11,-2.5423999999999998
2000-02-14,0.8696
2000-02-15,-1.7241
2000-02-16,-1.7544
2000-02-18,2.2321
2000-02-22,-3.0568
2000-02-24,-0.9009
2000-02-25,-1.8182
2000-02-28,1.8519
2000-02-29,0.0
2000-03-01,0.9091
2000-03-02,4.5045
2000-03-03,-2.5862
2000-03-06,-2.2124
2000-03-07,-2.2624
2000-03-08,3.7037
2000-03-09,-1.7856999999999998
2000-03-10,0.0
2000-03-13,-1.3636
2000-03-14,1.3825
2000-03-15,0.0
2000-03-16,1.8182
2000-03-17,4.4643
2000-03-20,-3.4188
2000-03-21,1.7699
2000-03-22,4.3478
2000-03-23,1.6667
2000-03-24,-1.6393
2000-03-27,-3.3333
2000-03-28,-6.8966
2000-03-29,0.0
2000-03-30,-1.8519
2000-03-31,-10.3774
2000-04-03,9.473700000000001
2000-04-04,-0.9615
2000-04-05,3.8834999999999997
2000-04-06,6.5421
2000-04-07,11.4035
2000-04-10,-0.3937
2000-04-11,0.0
2000-04-12,0.6166
2000-04-13,-5.9524
2000-04-14,1.2658
2000-04-17,0.0
2000-04-18,-1.6667
2000-04-19,-5.0847
2000-04-20,0.0
2000-04-24,-1.7856999999999998
2000-04-25,1.3636
2000-04-26,2.2422
2000-04-27,-3.5088
2000-04-28,0.0
2000-05-01,2.7273
2000-05-02,4.4248
2000-05-03,-1.6949
2000-05-04,-1.7241
2000-05-05,-4.386
2000-05-08,-0.4587
2000-05-09,0.0
2000-05-11,-0.9217
2000-05-12,0.4651
2000-05-15,0.0
2000-05-16,-0.9259
2000-05-17,-0.9346
2000-05-18,-1.8868
2000-05-19,0.9615
2000-05-22,-0.9524
2000-05-23,-0.9615
2000-05-24,-0.9709
2000-05-25,0.0
