ticker,MN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-11-18,0.0
2011-11-21,-0.1667
2011-11-22,1.8364
2011-11-23,-1.6393
2011-11-25,0.0
2011-11-28,2.5
2011-11-29,-0.2439
2011-11-30,3.5045
2011-12-01,-0.5512
2011-12-02,0.5542
2011-12-05,-0.8661
2011-12-06,0.0
2011-12-07,-2.0651
2011-12-08,-2.1898
2011-12-09,-0.0829
2011-12-12,1.6598000000000002
2011-12-13,2.1224
2011-12-14,-0.0799
2011-12-15,1.2
2011-12-16,0.2372
2011-12-19,-0.6309
2011-12-20,0.9524
2011-12-21,0.9434
2011-12-22,-1.0903
2011-12-23,2.4409
2011-12-27,-1.153
2011-12-28,-4.0435
2011-12-29,2.6742
2011-12-30,-1.4207
2012-01-03,0.0801
2012-01-04,0.4
2012-01-05,-0.3984
2012-01-06,1.04
2012-01-09,0.5542
2012-01-10,0.7087
2012-01-11,0.1564
2012-01-12,4.9961
2012-01-13,-1.1896
2012-01-17,-0.5267
2012-01-18,0.2269
2012-01-19,0.3774
2012-01-20,-0.5263
2012-01-23,-0.3023
2012-01-24,-0.3033
2012-01-25,0.9125
2012-01-26,0.4521
2012-01-27,0.3001
2012-01-30,-0.374
2012-01-31,-0.5255
2012-02-01,1.1320999999999999
2012-02-02,-0.2985
2012-02-03,2.021
2012-02-06,-1.7608000000000001
2012-02-07,5.8999
2012-02-08,-0.6347
2012-02-09,0.4968
2012-02-10,-1.4830999999999999
2012-02-13,-0.1434
2012-02-14,-1.5793
2012-02-15,-1.7505
2012-02-16,0.5197
2012-02-17,-1.8464
2012-02-21,-3.5365
2012-02-22,1.248
2012-02-23,1.5408
2012-02-24,0.0
2012-02-27,-1.3657
2012-02-28,0.1538
2012-02-29,-2.6882
2012-03-01,2.6835
2012-03-02,-0.3075
2012-03-05,-3.7779
2012-03-06,1.3622
2012-03-07,1.1067
2012-03-08,5.1603
2012-03-09,2.2305
2012-03-12,-0.8727
2012-03-13,2.9347
2012-03-14,-0.2138
2012-03-15,4.4286
2012-03-16,-2.3256
2012-03-19,3.0112
2012-03-20,-1.0197
2012-03-21,1.7856999999999998
2012-03-22,-3.1039
2012-03-23,3.8301
2012-03-26,0.6036
2012-03-27,-0.0667
2012-03-28,-1.4676
2012-03-29,-0.7448
2012-03-30,0.2729
2012-04-02,2.0408
2012-04-03,-2.6
2012-04-04,0.4791
2012-04-05,-0.1362
2012-04-09,-3.4789
2012-04-10,-2.0495
2012-04-11,2.3088
