ticker,ENS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2004-07-30,0.0
2004-08-02,0.0
2004-08-03,0.0
2004-08-04,0.24
2004-08-05,-3.2721
2004-08-06,-0.165
2004-08-09,-0.9917
2004-08-10,-1.0851
2004-08-11,1.1814
2004-08-12,0.0834
2004-08-13,0.0
2004-08-16,0.0
2004-08-17,0.0
2004-08-18,-0.5
2004-08-19,0.5025
2004-08-20,5.4167
2004-08-23,-1.8182
2004-08-24,0.8052
2004-08-25,-0.1597
2004-08-26,0.4
2004-08-27,-0.1594
2004-08-30,0.4789
2004-08-31,0.8737
2004-09-01,1.1024
2004-09-02,0.7009
2004-09-03,2.0882
2004-09-07,-0.6818
2004-09-08,0.6865
2004-09-09,0.6061
2004-09-10,0.9036
2004-09-13,0.7463
2004-09-14,4.4444
2004-09-15,-0.8511
2004-09-16,-1.0014
2004-09-17,0.7948
2004-09-20,0.5735
2004-09-21,-2.2096
2004-09-22,-0.8746
2004-09-23,-1.8382
2004-09-24,-3.0712
2004-09-27,1.2365
2004-09-28,-2.1374
2004-09-29,0.0
2004-09-30,0.234
2004-10-01,3.5019
2004-10-04,-0.2256
2004-10-05,-1.8086
2004-10-06,3.4536
2004-10-07,-1.7804
2004-10-08,-1.435
2004-10-11,0.2299
2004-10-12,0.1529
2004-10-13,-1.145
2004-10-14,-1.1583
2004-10-15,0.5469
2004-10-18,0.1554
2004-10-19,-0.6982
2004-10-20,3.4375
2004-10-21,-0.2266
2004-10-22,-1.2112
2004-10-25,-0.3831
2004-10-26,0.0
2004-10-27,-1.0
2004-10-28,0.4662
2004-10-29,2.0882
2004-11-01,-1.3636
2004-11-02,0.3072
2004-11-03,3.6753
2004-11-04,-0.4431
2004-11-05,0.3709
2004-11-08,1.9956
2004-11-09,0.2899
2004-11-10,1.8786
2004-11-11,3.1915
2004-11-12,-1.1684
2004-11-15,-0.2782
2004-11-16,-2.7197
2004-11-17,0.3584
2004-11-18,-1.3571
2004-11-19,-1.3034
2004-11-22,-1.3940000000000001
2004-11-23,5.2827
2004-11-24,-0.212
2004-11-26,0.0708
2004-11-29,-1.4154
2004-11-30,-1.2922
2004-12-01,0.0
2004-12-02,0.0
2004-12-03,0.3636
2004-12-06,-0.2174
2004-12-07,0.581
2004-12-08,1.6606
2004-12-09,2.7699
2004-12-10,-0.7602
2004-12-13,-0.766
2004-12-14,-0.3509
2004-12-15,1.831
2004-12-16,-1.5906
2004-12-17,0.9838
2004-12-20,1.2526
2004-12-21,2.4055
