ticker,RDN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-3.7958
2000-01-04,-3.2653
2000-01-05,0.7032
2000-01-06,0.1397
2000-01-07,-0.8368
2000-01-10,-0.9845
2000-01-11,-2.1307
2000-01-12,0.8708
2000-01-13,1.0072
2000-01-14,-0.4274
2000-01-18,-3.7196
2000-01-19,-1.6345
2000-01-20,-2.2659000000000002
2000-01-21,-3.7094
2000-01-24,-2.5682
2000-01-25,0.4942
2000-01-26,5.9016
2000-01-27,0.0
2000-01-28,-0.1548
2000-01-31,0.0744
2000-02-01,-0.7752
2000-02-02,-0.9375
2000-02-03,0.1577
2000-02-04,-0.6299
2000-02-07,-1.2678
2000-02-08,-1.9262000000000001
2000-02-09,-0.3273
2000-02-10,-1.9704000000000002
2000-02-11,-2.0101
2000-02-14,-0.6838
2000-02-15,2.0654
2000-02-16,0.3373
2000-02-17,-3.0252
2000-02-18,-2.9463
2000-02-22,2.1429
2000-02-23,0.5245
2000-02-24,-2.6087
2000-02-25,0.5357
2000-02-28,0.3552
2000-02-29,-1.7699
2000-03-01,3.2432
2000-03-02,3.1414
2000-03-03,0.3384
2000-03-06,0.3373
2000-03-07,-2.0168
2000-03-08,-5.1458
2000-03-09,7.9566
2000-03-10,-3.1826
2000-03-13,0.173
2000-03-14,3.1088
2000-03-15,6.0302
2000-03-16,10.1106
2000-03-17,2.439
2000-03-20,-0.7003
2000-03-21,3.103
2000-03-22,-0.4104
2000-03-23,3.7088
2000-03-24,0.5298
2000-03-27,-3.8208
2000-03-28,2.3288
2000-03-29,1.2048
2000-03-30,2.6455
2000-03-31,-1.8041
2000-04-03,-0.1312
2000-04-04,0.3942
2000-04-05,0.2618
2000-04-06,-1.8277
2000-04-07,2.3936
2000-04-10,-1.5584
2000-04-11,0.5277
2000-04-12,1.3123
2000-04-13,0.3886
2000-04-14,-5.2903
2000-04-17,-1.2262
2000-04-18,3.1724
2000-04-19,-1.4706000000000001
2000-04-20,2.3066
2000-04-24,0.5305
2000-04-25,5.8047
2000-04-26,2.8678
2000-04-27,-1.697
2000-04-28,0.4932
2000-05-01,1.1043
2000-05-02,-1.0922
2000-05-03,-1.5362
2000-05-04,0.8728
2000-05-05,1.7305000000000001
2000-05-08,-0.8505
2000-05-09,-1.2255
2000-05-10,0.1241
2000-05-11,2.974
2000-05-12,-0.361
2000-05-15,6.0386
2000-05-16,-0.7973
2000-05-17,-2.5258000000000003
2000-05-18,0.7067
2000-05-19,-1.7544
2000-05-22,0.8333
