ticker,FUL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-0.4469
2000-01-04,-2.9741999999999997
2000-01-05,0.1735
2000-01-06,-0.9238
2000-01-07,4.8951
2000-01-10,0.2222
2000-01-11,-0.4435
2000-01-12,2.2829
2000-01-13,3.3205999999999998
2000-01-14,5.6902
2000-01-18,-0.1994
2000-01-19,-1.3706
2000-01-20,-0.6098
2000-01-21,1.1247
2000-01-24,0.5561
2000-01-25,0.7541
2000-01-26,7.5847999999999995
2000-01-27,-0.5566
2000-01-28,-1.3993
2000-01-31,-1.6082999999999998
2000-02-01,5.3846
2000-02-02,-1.1861
2000-02-03,-0.831
2000-02-04,-4.4693
2000-02-07,3.1189
2000-02-08,1.3233
2000-02-09,-0.4664
2000-02-10,-2.343
2000-02-11,-0.1919
2000-02-14,-1.4423
2000-02-15,0.9756
2000-02-16,-1.0628
2000-02-17,1.2695
2000-02-18,-3.0376
2000-02-22,-1.7404
2000-02-23,-2.2267
2000-02-24,1.5528
2000-02-25,0.3058
2000-02-28,-0.2033
2000-02-29,0.0
2000-03-01,-0.3564
2000-03-02,-0.4599
2000-03-03,-1.54
2000-03-06,-7.5078
2000-03-07,-1.4656
2000-03-08,-0.2288
2000-03-09,-6.5367
2000-03-10,1.1043
2000-03-13,-17.9612
2000-03-14,-5.9172
2000-03-15,2.2013
2000-03-16,4.7692
2000-03-17,-0.7342
2000-03-20,-4.142
2000-03-21,0.9259
2000-03-22,-0.4587
2000-03-23,-4.1475
2000-03-24,0.4808
2000-03-27,-1.6348
2000-03-28,-5.148
2000-03-29,-2.0513
2000-03-30,2.9668
2000-03-31,8.3051
2000-04-03,-5.1643
2000-04-04,-2.3102
2000-04-05,1.5203
2000-04-06,-0.1664
2000-04-07,1.6667
2000-04-10,-1.6393
2000-04-11,-0.1667
2000-04-12,1.5025
2000-04-13,1.1513
2000-04-14,-0.4878
2000-04-17,3.268
2000-04-18,-1.2658
2000-04-19,0.0
2000-04-20,1.9231
2000-04-24,-2.5157
2000-04-25,3.1048
2000-04-26,-2.3856
2000-04-27,-0.2628
2000-04-28,-0.6462
2000-05-01,4.878
2000-05-02,2.4806
2000-05-03,-2.2693
2000-05-04,2.9412000000000003
2000-05-05,5.7143
2000-05-08,-6.2945
2000-05-09,0.1898
2000-05-10,1.2121
2000-05-11,-2.0958
2000-05-12,0.7645
2000-05-15,1.214
2000-05-16,-0.1499
2000-05-17,-2.1021
2000-05-18,0.4601
2000-05-19,1.374
2000-05-22,-1.506
