ticker,CPZ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-11-27,0.0
2019-11-29,0.1001
2019-12-02,-0.5
2019-12-03,0.2513
2019-12-04,-0.1504
2019-12-05,0.2008
2019-12-06,-1.8035999999999999
2019-12-09,1.3519999999999999
2019-12-10,-0.1762
2019-12-11,0.353
2019-12-12,0.4467
2019-12-13,-0.0865
2019-12-16,0.1923
2019-12-17,-0.05
2019-12-18,0.05
2019-12-19,0.05
2019-12-20,0.6494
2019-12-23,-0.2978
2019-12-24,-1.7422
2019-12-26,-0.6586
2019-12-27,0.4564
2019-12-30,0.766
2019-12-31,-1.0006
2020-01-02,0.4411
2020-01-03,-0.1345
2020-01-06,0.4067
2020-01-07,0.7089
2020-01-08,-0.2514
2020-01-09,1.3105
2020-01-10,-0.5473
2020-01-13,-0.05
2020-01-14,0.0
2020-01-15,-0.4004
2020-01-16,0.2513
2020-01-17,-1.0025
2020-01-21,-0.2025
2020-01-22,-1.0654
2020-01-23,-0.7692
2020-01-24,0.2584
2020-01-27,0.0
2020-01-28,0.1309
2020-01-29,-0.1302
2020-01-30,0.5149
2020-01-31,0.2051
2020-02-03,-0.2753
2020-02-04,0.584
2020-02-05,0.5102
2020-02-06,-1.4721
2020-02-07,-0.2576
2020-02-10,-0.4132
2020-02-11,1.1411
2020-02-12,-0.081
2020-02-13,-0.2269
2020-02-14,0.3363
2020-02-18,0.2743
2020-02-19,-0.5563
2020-02-20,0.0
2020-02-21,-1.9131
2020-02-24,-3.0047
2020-02-25,-2.337
2020-02-26,2.4018
2020-02-27,-1.0928
2020-02-28,0.217
2020-03-02,-2.193
2020-03-03,-1.3363
2020-03-04,2.7747
2020-03-05,0.0553
2020-03-06,-0.663
2020-03-09,-10.4004
2020-03-10,0.9311
2020-03-11,-7.4416
2020-03-12,-5.9801
2020-03-13,-1.4245
2020-03-16,-18.7861
2020-03-17,7.3843
2020-03-18,-20.1326
2020-03-19,15.7676
2020-03-20,-2.2401
2020-03-23,1.7415
2020-03-24,6.5315
2020-03-25,6.1311
2020-03-26,7.6494
2020-03-27,4.3671
2020-03-30,1.9858
2020-03-31,0.4172
2020-04-01,-6.5097000000000005
2020-04-02,-2.3704
2020-04-03,-2.4279
2020-04-06,8.4759
2020-04-07,-0.4301
2020-04-08,1.7999
2020-04-09,9.901
2020-04-13,-4.6332
2020-04-14,1.2237
2020-04-15,-0.9402
2020-04-16,-4.0
2020-04-17,2.1186
2020-04-20,0.2766
2020-04-21,-0.4138
2020-04-22,3.1163
2020-04-23,-4.0967
2020-04-24,-0.4202
2020-04-27,-0.0703
2020-04-28,0.2815
2020-04-29,4.7018
2020-04-30,2.0777
2020-05-01,-1.1819
2020-05-04,-0.3322
2020-05-05,-0.2667
2020-05-06,-1.2032
2020-05-07,1.1143
2020-05-08,0.2362
2020-05-11,1.1829
2020-05-12,-1.1031
2020-05-13,-4.4019
2020-05-14,-1.8629
2020-05-15,-1.361
2020-05-18,3.5585
2020-05-19,2.9102
2020-05-20,0.5792
2020-05-21,-0.7453
2020-05-22,1.058
2020-05-26,1.3171
2020-05-27,0.6
2020-05-28,3.1014
2020-05-29,0.6209
2020-06-01,0.2261
2020-06-02,-0.5099
2020-06-03,3.6515
2020-06-04,0.618
2020-06-05,5.4668
2020-06-08,3.0868
2020-06-09,-0.8757
2020-06-10,-1.6244
2020-06-11,-5.7937
2020-06-12,2.0433
2020-06-15,0.7282
2020-06-16,2.5904
2020-06-17,-1.2331
2020-06-18,-3.0916
2020-06-19,-0.4908
2020-06-22,-0.3699
2020-06-23,-0.2636
2020-06-24,-3.2102
2020-06-25,0.0641
2020-06-26,-3.3312
2020-06-29,1.8555000000000001
2020-06-30,0.7157
2020-07-01,-1.1628
2020-07-02,-0.5229
2020-07-06,1.117
2020-07-07,-0.7147
2020-07-08,1.1453
2020-07-09,-0.6147
2020-07-10,-1.0742
2020-07-13,0.7623
2020-07-14,-1.4474
2020-07-15,3.4713
2020-07-16,1.9355
2020-07-17,-1.7088999999999999
2020-07-20,0.4507
2020-07-21,0.641
2020-07-22,-0.5096
2020-07-23,-0.128
2020-07-24,0.8974
2020-07-27,-1.1436
2020-07-28,-2.3779
2020-07-29,1.3167
2020-07-30,-0.3249
2020-07-31,-0.3259
