ticker,MOTS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-02-14,-12.4
2018-02-15,-1.8265
2018-02-16,-6.9767
2018-02-20,2.75
2018-02-21,3.4063
2018-02-22,5.4118
2018-02-23,1.1161
2018-02-26,4.989
2018-02-27,5.1304
2018-02-28,0.0
2018-03-01,-1.0
2018-03-02,-2.4242
2018-03-05,0.4141
2018-03-06,0.8247
2018-03-07,2.2495
2018-03-08,-1.2
2018-03-09,0.8097
2018-03-12,-3.4137
2018-03-13,-0.4158
2018-03-14,1.0438
2018-03-15,-1.2397
2018-03-16,-0.6276
2018-03-19,2.1053
2018-03-20,1.5464
2018-03-21,-1.9289
2018-03-22,0.207
2018-03-23,-4.4215
2018-03-26,0.9511
2018-03-27,-1.9272
2018-03-28,-3.7118
2018-03-29,1.5873
2018-04-02,2.0067
2018-04-03,-2.6237
2018-04-04,0.7865
2018-04-05,0.495
2018-04-06,-1.2691
2018-04-09,1.1236
2018-04-10,0.6667
2018-04-11,-0.6402
2018-04-12,-0.0222
2018-04-13,0.0
2018-04-16,1.4444
2018-04-17,-5.805
2018-04-18,5.2512
2018-04-19,-4.9892
2018-04-20,1.1628
2018-04-23,-0.2598
2018-04-24,-1.3529
2018-04-25,-0.4673
2018-04-26,0.3756
2018-04-27,-0.2572
2018-04-30,2.2345
2018-05-01,-0.9242
2018-05-02,-0.2315
2018-05-03,0.9281
2018-05-04,2.2391
2018-05-07,-1.9651999999999998
2018-05-08,2.1972
2018-05-09,3.2138
2018-05-10,-5.7926
2018-05-11,3.3998
2018-05-14,0.6719
2018-05-15,3.0976
2018-05-16,7.5338
2018-05-17,3.798
2018-05-18,2.8922
2018-05-21,-6.7416
2018-05-22,-5.0201
2018-05-23,-1.7442
2018-05-24,-2.0979
2018-05-25,3.2967
2018-05-29,-1.9149
2018-05-30,16.9197
2018-05-31,1.4842
2018-06-01,7.4954
2018-06-04,5.4422
2018-06-05,7.0968
2018-06-06,-2.5602
2018-06-07,-3.864
2018-06-08,-1.7685
2018-06-11,0.982
2018-06-12,-0.6483
2018-06-13,-3.4258
2018-06-14,-1.0135
2018-06-15,1.5358
2018-06-18,3.3613
2018-06-19,-1.3008
2018-06-20,1.318
2018-06-21,3.252
2018-06-22,5.6693
2018-06-25,8.0477
2018-06-26,-1.5171999999999999
2018-06-27,-0.2801
2018-06-28,2.1067
2018-06-29,-1.1004
2018-07-02,2.7816
2018-07-03,0.5413
2018-07-05,14.6703
2018-07-06,13.7324
