ticker,ESI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-10-25,-2.0833
2013-10-29,0.8511
2013-11-07,0.0
2013-11-08,1.2658
2013-11-11,0.0
2013-11-12,0.0
2013-11-29,0.0
2013-12-05,0.0
2013-12-11,0.8333
2013-12-16,3.3058
2013-12-17,12.0
2013-12-18,0.0
2013-12-31,0.0
2014-01-07,-3.5714
2014-01-08,0.2222
2014-01-09,-0.2217
2014-01-10,0.0
2014-01-15,3.7037
2014-01-23,6.4286
2014-01-24,-3.3557
2014-01-27,-0.9028
2014-01-28,-0.8409
2014-01-29,-1.0601
2014-01-30,0.0
2014-01-31,-0.4286
2014-02-03,-0.7891
2014-02-04,1.2292
2014-02-05,3.0714
2014-02-06,6.237
2014-02-07,5.9361
2014-02-10,0.9236
2014-02-11,0.183
2014-02-12,-0.4263
2014-02-13,-1.7125
2014-02-14,5.1649
2014-02-18,3.432
2014-02-19,3.5469
2014-02-20,0.4972
2014-02-21,0.4948
2014-02-24,0.4923
2014-02-25,4.5182
2014-02-26,1.5625
2014-02-27,1.0256
2014-02-28,3.9594
2014-03-03,3.0762
2014-03-04,3.3633
2014-03-05,-1.5124
2014-03-06,0.698
2014-03-07,0.2311
2014-03-10,-1.1065
2014-03-11,-2.5641
2014-03-12,-1.1962
2014-03-13,0.5811
2014-03-14,-1.0592
2014-03-17,0.0
2014-03-18,0.7299
2014-03-19,-0.7246
2014-03-20,-1.9465
2014-03-21,-8.0893
2014-03-24,2.8078
2014-03-25,-0.1576
2014-03-26,-0.3156
2014-03-27,2.3219
2014-03-28,-1.444
2014-03-31,-0.314
2014-04-01,4.9869
2014-04-02,4.5
2014-04-03,0.1435
2014-04-04,1.7678
2014-04-07,-2.4413
2014-04-08,-4.1386
2014-04-09,1.6064
2014-04-10,-0.2964
2014-04-11,-1.3875
2014-04-14,0.0
2014-04-15,-0.201
2014-04-16,-1.007
2014-04-17,1.6277
2014-04-21,1.4014
2014-04-22,-0.5429
2014-04-23,-1.2903
2014-04-24,-1.0055
2014-04-25,0.3047
2014-04-28,0.8608
2014-04-29,-0.4016
2014-04-30,-1.5121
2014-05-01,-0.1024
2014-05-02,2.2029
2014-05-05,-0.6015
2014-05-06,0.9077
2014-05-07,-1.5992
2014-05-08,-1.0665
2014-05-09,-0.5133
2014-05-12,2.3736
2014-05-13,1.7641
2014-05-14,-1.3373
2014-05-15,5.4719
2014-05-16,6.3779
2014-05-19,3.5794
2014-05-20,1.0799
2014-05-21,4.6154
