ticker,MESA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-08-10,-2.0833
2018-08-13,-2.1277
2018-08-14,1.3043
2018-08-15,-0.0858
2018-08-16,0.5155
2018-08-17,0.3419
2018-08-20,3.6627
2018-08-21,1.3147
2018-08-22,0.8921
2018-08-23,0.4823
2018-08-24,0.48
2018-08-27,0.0
2018-08-28,3.2643
2018-08-29,-1.0023
2018-08-30,6.6199
2018-08-31,0.7305
2018-09-04,14.7208
2018-09-05,0.1896
2018-09-06,-1.2618
2018-09-07,1.278
2018-09-10,-1.2618
2018-09-11,-2.3003
2018-09-12,-4.1857
2018-09-13,4.5051
2018-09-14,1.8942
2018-09-17,-4.8718
2018-09-18,0.3369
2018-09-19,-2.955
2018-09-20,-6.1592
2018-09-21,1.8437000000000001
2018-09-24,-2.9689
2018-09-25,-6.194
2018-09-26,8.2737
2018-09-27,-1.8369
2018-09-28,3.7425
2018-10-01,-4.6898
2018-10-02,3.4065
2018-10-03,1.7570000000000001
2018-10-04,-4.1007
2018-10-05,-2.5506
2018-10-08,1.6936
2018-10-09,-1.0598
2018-10-10,1.3772
2018-10-11,-4.7547
2018-10-12,6.1014
2018-10-15,1.9417
2018-10-16,3.1502
2018-10-17,0.7813
2018-10-18,-4.1579
2018-10-19,1.9118
2018-10-22,1.443
2018-10-23,-2.9161
2018-10-24,-0.1465
2018-10-25,1.1739
2018-10-26,-2.3205
2018-10-29,-3.5635
2018-10-30,4.6189
2018-10-31,6.3282
2018-11-01,-2.2837
2018-11-02,-3.4703
2018-11-05,1.9809
2018-11-06,-1.223
2018-11-07,2.7677
2018-11-08,7.158
2018-11-09,-4.3651
2018-11-12,-0.899
2018-11-13,1.5352000000000001
2018-11-14,1.5808
2018-11-15,2.4356999999999998
2018-11-16,-3.8308999999999997
2018-11-19,-10.6456
2018-11-20,1.2298
2018-11-21,3.6446
2018-11-23,2.1245
2018-11-26,-3.802
2018-11-27,-4.3251
2018-11-28,-2.8839
2018-11-29,-5.0562
2018-11-30,2.1133
2018-12-03,-0.6623
2018-12-04,-11.4167
2018-12-06,9.9718
2018-12-07,1.7109
2018-12-10,-1.5979999999999999
2018-12-11,-1.6239
2018-12-12,3.2146
2018-12-13,-13.8889
2018-12-14,-1.2708
2018-12-17,-1.4851
2018-12-18,-8.1407
2018-12-19,-13.5667
2018-12-20,-7.3418
2018-12-21,-6.2842
2018-12-24,-0.8746
2018-12-26,-0.7353
2018-12-27,-2.8148
2018-12-28,7.1646
2018-12-31,9.6728
