ticker,NGLDD US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-03-16,92.3077
2016-05-11,700.0
2016-06-20,25.0
2016-07-11,-60.0
2016-07-12,100.0
2016-07-13,-30.0
2016-08-03,0.0
2016-08-04,35.7143
2016-08-09,-32.6316
2016-08-10,-6.25
2016-08-11,-16.6667
2016-08-12,30.0
2016-08-15,23.0769
2016-08-16,18.75
2016-08-17,-26.3158
2016-08-18,-7.0536
2016-08-19,34.4861
2016-08-22,0.2857
2016-08-23,-20.227899999999998
2016-08-24,28.5714
2016-08-26,-27.7778
2016-08-30,-3.75
2016-08-31,-4.0959
2016-09-01,0.0
2016-09-02,-8.3333
2016-09-06,6.9886
2016-09-07,18.9591
2016-09-14,-14.2857
2016-09-15,13.4375
2016-09-16,-11.8457
2016-09-19,19.8438
2016-09-20,-8.9092
2016-09-21,-16.0305
2016-09-26,-4.5455
2016-09-29,14.2857
2016-10-03,0.0
2016-10-05,-12.5
2016-10-13,4.7619
2016-10-19,0.1136
2016-11-01,0.0
2016-11-07,-0.1135
2016-11-10,22.7273
2016-11-11,7.4074
2016-11-15,17.2414
2016-11-18,-13.6029
2016-12-30,8.9362
2017-01-04,0.0
2017-01-12,-6.25
2017-02-02,0.0
2017-02-08,0.0
2017-04-10,-10.0
2017-07-14,21.4815
2017-07-27,-14.6341
2017-08-14,21.4286
2017-08-28,0.0
2017-08-31,0.0
2017-09-06,-17.647100000000002
2017-10-02,-10.7143
2017-11-01,35.92
2017-11-03,0.0
2017-11-06,0.0589
2017-11-08,-0.0588
2017-11-09,0.0589
2017-11-10,-2.3529
2017-11-15,-0.6024
2017-11-17,1.2121
2017-11-20,-22.1557
2017-11-27,38.3846
2017-11-28,5.5586
2017-11-29,0.0527
2017-11-30,5.2632
2017-12-01,-20.0
2017-12-04,25.0
2017-12-05,5.0
2017-12-06,1.4285999999999999
2017-12-07,3.2864
2017-12-08,-31.8182
2017-12-11,27.3333
2017-12-13,4.712
2017-12-14,-45.0
2017-12-15,-36.4545
2017-12-18,14.4492
2017-12-20,0.125
2017-12-22,74.6567
2017-12-26,-7.8806
2017-12-29,-22.4054
2018-01-03,0.0
2018-01-04,0.0
2018-01-05,20.99
2018-01-08,-33.8788
2018-01-09,3.1875
2018-01-16,30.103
2018-01-22,-34.8231
2018-01-23,41.14
2018-01-24,-22.63
2018-01-25,-0.5756
2018-02-06,0.0
2018-02-09,0.0
2018-02-16,0.0
2018-02-20,-21.0526
2018-02-23,48.3333
2018-02-26,20.6742
2018-02-27,0.0
2018-03-01,-6.8901
2018-04-09,-20.0
2018-05-09,0.0
2018-05-10,-39.875
2018-05-24,-16.8399
2018-08-15,2.5
2018-09-05,8.9024
2018-09-18,-8.1747
2018-09-19,8.9024
2018-09-27,-8.1747
2018-10-29,0.0
2019-01-16,40.0
2019-03-29,-28.5714
2019-04-03,0.0
2019-07-12,119.5122
2019-08-01,-44.4444
2019-08-15,80.0
2019-08-27,0.0
2019-08-28,0.0
2019-09-03,-5.5556
2019-09-04,0.0
2019-09-27,-41.1765
2019-10-01,-20.0
2019-10-02,-1.25
2019-10-03,1.2658
2019-11-14,50.0
2019-11-25,-33.3333
2019-12-24,0.0
2019-12-27,50.0
2019-12-30,-50.0
2019-12-31,0.0
2020-03-10,0.0
2020-03-17,0.0
2020-05-07,241.0
2020-05-13,-67.7419
2020-05-15,0.0
2020-06-08,112.1212
2020-06-25,0.0
2020-06-30,0.0
2020-07-02,14.2857
2020-07-06,-12.5
2020-07-09,0.0
2020-07-10,42.8571
2020-07-13,-10.0
2020-07-14,-22.2222
2020-07-20,21.4286
2020-07-21,0.0
2020-07-22,194.1176
2020-07-23,-23.0
2020-07-24,-11.6883
2020-07-27,-2.9412000000000003
2020-07-28,-26.6667
2020-07-29,48.7603
2020-07-30,-13.8889
2020-07-31,-3.2258
