ticker,AYLA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2020-05-08,0.2
2020-05-11,0.7984
2020-05-12,-0.9901
2020-05-13,0.0
2020-05-14,0.0
2020-05-15,0.0
2020-05-18,6.1333
2020-05-19,-2.9523
2020-05-20,1.5534
2020-05-21,-3.2505
2020-05-22,0.527
2020-05-26,-1.0485
2020-05-27,-0.2649
2020-05-28,-0.332
2020-05-29,0.4664
2020-06-01,4.1114
2020-06-02,-0.0637
2020-06-03,-4.3977
2020-06-04,2.8
2020-06-05,-0.7782
2020-06-08,-0.9092
2020-06-09,-6.338
2020-06-10,0.0
2020-06-11,-9.4366
2020-06-12,8.7092
2020-06-15,-6.6524
2020-06-16,0.8429
2020-06-17,1.8237
2020-06-18,-2.6866
2020-06-19,-18.1748
2020-06-22,7.8725000000000005
2020-06-23,-3.5621
2020-06-24,3.4234
2020-06-25,-4.1812
2020-06-26,-9.0909
2020-06-29,1.6
2020-06-30,-0.5906
2020-07-01,-0.9901
2020-07-02,-3.0
2020-07-06,1.0309
2020-07-07,-6.6327
2020-07-08,2.0765
2020-07-09,0.1071
2020-07-10,6.9529
2020-07-13,10.3989
2020-07-14,-4.529
2020-07-15,8.7287
2020-07-16,1.7452
2020-07-17,7.2041
2020-07-20,3.92
2020-07-21,-6.6205
2020-07-22,2.4732
2020-07-23,2.5744
2020-07-24,-4.3137
2020-07-27,10.5738
2020-07-28,-3.2617
2020-07-29,0.7663
2020-07-30,1.673
2020-07-31,-0.2992
