ticker,HTGM US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-05-06,-1.6429
2015-05-07,1.2346
2015-05-08,2.439
2015-05-11,2.521
2015-05-12,-4.3033
2015-05-13,1.2134
2015-05-14,1.2694
2015-05-15,-1.2535
2015-05-18,0.3526
2015-05-19,-0.2108
2015-05-20,-1.0563
2015-05-21,0.0712
2015-05-22,0.3556
2015-05-26,-1.9844
2015-05-27,3.2538
2015-05-28,-1.9607999999999999
2015-05-29,2.5
2015-06-01,-3.0662
2015-06-02,16.1754
2015-06-03,8.6634
2015-06-04,-12.8132
2015-06-05,1.9595
2015-06-08,6.0218
2015-06-09,-2.1752
2015-06-10,-5.1266
2015-06-11,-0.8464
2015-06-12,0.2626
2015-06-15,1.1133
2015-06-16,-0.1943
2015-06-17,-4.4776
2015-06-18,0.2717
2015-06-19,-7.1138
2015-06-22,-4.814
2015-06-23,-4.9875
2015-06-24,-6.3644
2015-06-25,-2.7561999999999998
2015-06-26,0.3543
2015-06-29,-5.2074
2015-06-30,3.8175
2015-07-01,7.5336
2015-07-02,3.7531
2015-07-06,1.2058
2015-07-07,-4.6068
2015-07-08,-3.6635999999999997
2015-07-09,1.815
2015-07-10,-1.1885
2015-07-13,-1.9759
2015-07-14,-6.3103
2015-07-15,-1.6838
2015-07-16,1.8077999999999999
2015-07-17,0.5607
2015-07-20,-2.4164
2015-07-21,-1.5238
2015-07-22,0.3868
2015-07-23,0.578
2015-07-24,-0.6705
2015-07-27,-3.7608
2015-07-28,4.3086
2015-07-29,-4.611
2015-07-30,-7.0493
2015-07-31,-4.8754
2015-08-03,-7.9727
2015-08-04,-4.2079
2015-08-05,-6.2016
2015-08-06,15.978
2015-08-07,-9.2637
2015-08-10,-1.178
2015-08-11,-2.649
2015-08-12,-1.2245
2015-08-13,-16.6667
2015-08-14,-4.1322
2015-08-17,-1.2069
2015-08-18,0.349
2015-08-19,-5.2174
2015-08-20,2.3853
2015-08-21,0.0
2015-08-24,-5.7348
2015-08-25,4.943
2015-08-26,3.6231999999999998
2015-08-27,-4.7203
2015-08-28,4.4037
2015-08-31,-2.1068
2015-09-01,4.9348
2015-09-02,-4.5338
2015-09-03,2.1505
2015-09-04,4.0351
2015-09-08,4.3845
2015-09-09,0.3231
2015-09-10,4.1868
2015-09-11,10.6646
2015-09-14,11.7318
2015-09-15,1.25
2015-09-16,6.7901
2015-09-17,30.5202
2015-09-18,1.5943
2015-09-21,3.6616999999999997
2015-09-22,-4.3734
2015-09-23,-0.5277
