ticker,RCEL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-03-30,8.0
2012-04-02,-3.7037
2012-04-03,-7.6923
2012-04-04,-5.4167
2012-04-05,14.0969
2012-04-09,-1.1583
2012-04-10,-2.3437
2012-04-11,0.0
2012-04-13,0.0
2012-04-16,12.4
2012-04-18,-2.1352
2012-04-20,4.1818
2012-04-23,-4.014
2012-04-24,-4.5455
2012-04-26,0.0
2012-04-27,-9.5238
2012-04-30,-5.0526
2012-05-02,1.9956
2012-05-03,-0.6522
2012-05-04,-3.7199
2012-05-07,-2.2727
2012-05-08,2.3256
2012-05-09,0.9091
2012-05-10,12.6126
2012-05-11,3.0
2012-05-14,-2.9126
2012-05-15,5.0
2012-05-16,-1.9048
2012-05-17,5.4369
2012-05-18,-11.6022
2012-05-21,5.4167
2012-05-22,-0.1976
2012-05-23,-11.8812
2012-05-25,2.2472
2012-05-29,-2.4176
2012-05-30,-5.4054
2012-05-31,2.3810000000000002
2012-06-01,-4.6512
2012-06-04,-12.1951
2012-06-05,8.3333
2012-06-06,5.8974
2012-06-07,1.937
2012-06-08,5.4632
2012-06-11,-1.8018
2012-06-12,-3.6696999999999997
2012-06-13,-2.8571
2012-06-14,0.4902
2012-06-15,2.9268
2012-06-18,-0.4739
2012-06-19,-1.5238
2012-06-20,-3.2882
2012-06-21,0.0
2012-06-25,-2.5
2012-06-28,0.0
2012-06-29,5.8974
2012-07-02,-3.3898
2012-07-05,0.2506
2012-07-06,-3.75
2012-07-09,5.974
2012-07-12,-9.0686
2012-07-13,7.8167
2012-07-17,0.0
2012-07-19,-0.2
2012-07-20,-1.6784
2012-07-23,1.6561
2012-07-26,-8.5213
2012-07-27,1.0959
2012-07-30,0.813
2012-07-31,-3.2258
2012-08-02,-2.2222
2012-08-03,0.8523
2012-08-06,-4.2254
2012-08-07,-5.5882
2012-08-08,0.3115
2012-08-09,-0.9317
2012-08-10,-7.3354
2012-08-13,-0.2706
2012-08-14,10.5834
2012-08-15,-14.7239
2012-08-16,7.9137
2012-08-20,-10.3333
2012-08-21,17.1004
2012-08-22,3.1746
2012-08-23,-3.3846
2012-08-27,-7.0064
2012-08-28,1.0274
2012-08-30,-1.0169
2012-08-31,1.3699
2012-09-04,2.0946
2012-09-05,-17.6042
2012-09-06,12.4498
2012-09-07,-12.5
2012-09-11,14.2857
2012-09-12,-10.7143
2012-09-13,11.2
2012-09-14,-0.3597
2012-09-17,-0.722
2012-09-18,1.8182
2012-09-19,-5.0
