ticker,WHSI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2009-12-30,-58.0
2009-12-31,90.4762
2010-01-04,-85.0
2010-01-05,3.3333
2010-01-06,12.9032
2010-01-07,57.1429
2010-01-08,-9.0909
2010-01-11,-40.0
2010-01-12,-6.6667
2010-01-15,-17.8571
2010-01-20,0.0
2010-01-21,0.0
2010-01-22,13.0435
2010-01-25,-11.538499999999999
2010-01-26,-4.3478
2010-01-27,-9.0909
2010-01-29,105.0
2010-02-01,0.0
2010-02-02,-26.8293
2010-02-05,0.0
2010-02-08,-20.0
2010-02-09,0.0
2010-02-10,-4.1667
2010-02-19,-13.0435
2010-02-22,5.0
2010-02-25,0.0
2010-02-26,19.0476
2010-03-01,-12.0
2010-03-03,-22.7273
2010-03-05,11.7647
2010-03-08,-51.5789
2010-03-09,-34.7826
2010-03-10,1.6667
2010-03-11,-13.9344
2010-03-12,-23.8095
2010-03-15,-2.5
2010-03-16,-30.7692
2010-03-17,7.4074
2010-03-18,-6.8966
2010-03-19,0.0
2010-03-22,11.1111
2010-03-23,-3.3333
2010-03-24,-8.6207
2010-03-25,-9.434
2010-03-26,-2.0833
2010-03-29,-14.3617
2010-03-30,-8.0745
2010-03-31,32.4324
2010-04-01,-18.3673
2010-04-05,-14.0625
2010-04-06,-1.0909
2010-04-07,-5.8824
2010-04-08,0.0
2010-04-09,12.5
2010-04-12,0.0
2010-04-13,-5.5556
2010-04-14,-16.5441
2010-04-15,9.2511
2010-04-16,3.2258
2010-04-19,0.0
2010-04-20,4.2969
2010-04-21,-4.1199
2010-04-22,-1.1719
2010-04-23,0.3953
2010-04-26,-11.811
2010-04-27,14.2857
2010-04-28,0.0
2010-04-29,12.5
2010-04-30,5.5556
2010-05-03,-18.4211
2010-05-04,-4.4355
2010-05-05,1.2658
2010-05-06,0.0
2010-05-07,5.8333
2010-05-10,-5.5118
2010-05-11,0.0
2010-05-12,10.0
2010-05-13,-12.1212
2010-05-14,-3.4483
2010-05-17,-6.25
2010-05-18,-13.8095
2010-05-19,-2.7624
2010-05-20,-5.6818
2010-05-21,-2.4096
2010-05-24,8.642
2010-05-25,-7.9545
2010-05-26,8.642
2010-05-27,9.0909
2010-05-28,20.8333
2010-06-01,-10.3448
2010-06-02,0.0
2010-06-03,11.538499999999999
2010-06-04,2.5862
2010-06-07,-5.8824
2010-06-08,3.5714
2010-06-09,-2.1552
2010-06-10,-4.8458
2010-06-11,0.0
2010-06-14,10.1852
2010-06-15,7.563
2010-06-16,0.0
