ticker,CBIO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-04-12,-3.7778
2006-04-13,-1.8476
2006-04-17,0.4706
2006-04-18,-4.5667
2006-04-19,-4.7853
2006-04-20,-1.6753
2006-04-21,0.5242
2006-04-24,1.1734
2006-04-25,-0.9021
2006-04-26,0.0
2006-04-27,0.13
2006-04-28,-2.5974
2006-05-01,1.2
2006-05-02,-1.4493
2006-05-03,1.6042999999999998
2006-05-04,-0.6579
2006-05-05,4.6358
2006-05-08,-5.443
2006-05-09,1.7403
2006-05-10,1.3158
2006-05-11,-2.4675000000000002
2006-05-12,-0.1332
2006-05-15,-1.3333
2006-05-16,0.1351
2006-05-17,-2.0243
2006-05-18,1.7906
2006-05-19,-0.5413
2006-05-22,1.3605
2006-05-23,-3.8926
2006-05-24,2.933
2006-05-25,-0.8141
2006-05-26,1.6416
2006-05-30,0.2692
2006-05-31,-1.3423
2006-06-01,0.0
2006-06-02,-1.3605
2006-06-05,0.6897
2006-06-06,0.0
2006-06-07,-1.2328999999999999
2006-06-08,-0.1387
2006-06-09,0.0
2006-06-12,-0.1389
2006-06-13,-0.2782
2006-06-14,0.4184
2006-06-15,1.25
2006-06-16,-2.8807
2006-06-19,-0.565
2006-06-20,1.2784
2006-06-21,-6.0309
2006-06-22,0.597
2006-06-23,2.6706
2006-06-26,-2.1676
2006-06-27,0.5908
2006-06-28,-2.2026
2006-06-29,-0.4505
2006-06-30,3.9215999999999998
2006-07-03,-4.0639
2006-07-05,2.8744
2006-07-06,-0.1471
2006-07-07,-0.2946
2006-07-10,0.0
2006-07-11,1.4771
2006-07-12,1.0189
2006-07-13,-1.2968
2006-07-14,-3.7956
2006-07-17,1.214
2006-07-18,-1.9489999999999998
2006-07-19,-0.9174
2006-07-20,-6.1728
2006-07-21,-1.3158
2006-07-24,3.3333
2006-07-25,0.8065
2006-07-26,3.04
2006-07-27,-4.0373
2006-07-28,1.1327
2006-07-31,6.88
2006-08-01,-8.0838
2006-08-02,-1.3029
2006-08-03,0.0
2006-08-04,-0.9901
2006-08-07,-1.6667
2006-08-08,-1.6949
2006-08-09,-0.5172
2006-08-10,-1.5598
2006-08-11,-1.4085
2006-08-14,1.0714
2006-08-15,-1.9435
2006-08-16,0.9009
2006-08-17,-2.6786
2006-08-18,1.2844
2006-08-21,1.4493
2006-08-22,-0.5357
2006-08-23,-0.3591
2006-08-24,0.3604
2006-08-25,0.5386
2006-08-30,0.0
2006-08-31,-1.7856999999999998
2006-09-01,-1.8182
