ticker,ACI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2020-06-26,-3.4375
2020-06-29,0.7767
2020-06-30,1.2845
2020-07-01,-0.0634
2020-07-02,0.3173
2020-07-06,-1.8343
2020-07-07,-2.1907
2020-07-08,-0.1318
2020-07-09,-2.7045
2020-07-10,-1.0169
2020-07-13,-4.1096
2020-07-14,4.2143
2020-07-15,0.2056
2020-07-16,2.4624
2020-07-17,2.4699999999999998
2020-07-20,1.5635
2020-07-21,0.5131
2020-07-22,2.1059
2020-07-23,0.1875
2020-07-24,0.4991
2020-07-27,-5.4004
2020-07-28,-0.9186
2020-07-29,1.7881
2020-07-30,-2.7326
2020-07-31,-0.602
