ticker,SAMG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-06-27,7.5455
2013-06-28,1.437
2013-07-01,3.25
2013-07-02,-5.9726
2013-07-03,0.6438
2013-07-05,-1.1514
2013-07-08,-0.5177
2013-07-09,1.4744
2013-07-10,0.4274
2013-07-11,7.0638
2013-07-12,0.5564
2013-07-15,0.7905
2013-07-16,1.8824
2013-07-17,-2.9253
2013-07-18,-0.8723
2013-07-19,-1.92
2013-07-22,5.2202
2013-07-23,1.5504
2013-07-24,4.6565
2013-07-25,3.9387
2013-07-26,-1.3333
2013-07-29,-0.3556
2013-07-30,-2.7123
2013-07-31,-0.2201
2013-08-01,-1.4706000000000001
2013-08-02,4.7761
2013-08-05,-3.1339
2013-08-06,1.6176
2013-08-07,-2.3155
2013-08-08,0.5926
2013-08-09,0.1473
2013-08-12,0.0
2013-08-13,1.9853
2013-08-14,-0.8652
2013-08-15,1.5272999999999999
2013-08-16,0.2865
2013-08-19,-0.8571
2013-08-20,0.8646
2013-08-21,1.6429
2013-08-22,-2.9515000000000002
2013-08-23,2.824
2013-08-26,-1.338
2013-08-27,-3.4261
2013-08-28,-5.6171
2013-08-29,-2.2709
2013-08-30,-2.0032
2013-09-03,-0.9812
2013-09-04,6.9364
2013-09-05,-3.0116
2013-09-06,1.035
2013-09-09,2.8369
2013-09-10,1.1494
2013-09-11,-0.6061
2013-09-12,1.2195
2013-09-13,1.5813000000000001
2013-09-16,0.593
2013-09-17,-1.4001000000000001
2013-09-18,0.0747
2013-09-19,3.2114
2013-09-20,-9.5514
2013-09-23,9.2
2013-09-24,-0.6593
2013-09-25,-0.8112
2013-09-26,0.8922
2013-09-27,-2.1371
2013-09-30,2.6355
2013-10-01,2.6412
2013-10-02,-2.0729
2013-10-03,-0.073
2013-10-04,0.2191
2013-10-07,0.0729
2013-10-08,-1.748
2013-10-09,1.1861
2013-10-10,3.2967
2013-10-11,5.3191
2013-10-14,0.3367
2013-10-15,-1.0738
2013-10-16,-0.6784
2013-10-17,-0.0683
2013-10-18,-0.6835
2013-10-21,-0.2065
2013-10-22,-4.4138
2013-10-23,1.0823
2013-10-24,1.7130999999999998
2013-10-25,-0.2105
2013-10-28,1.1955
2013-10-29,-0.3475
2013-10-30,-0.9763
2013-10-31,4.0141
2013-11-01,-2.5051
2013-11-04,2.4306
2013-11-05,0.2034
2013-11-06,-0.0677
2013-11-07,-0.8802
2013-11-08,1.0929
2013-11-11,-3.4459
2013-11-12,0.07
2013-11-13,4.3357
