ticker,APRN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-06-29,0.0
2017-06-30,-6.6
2017-07-03,3.5332
2017-07-05,-8.5832
2017-07-06,-8.8235
2017-07-07,-4.0943
2017-07-10,5.304
2017-07-11,-12.285
2017-07-12,5.8824
2017-07-13,-2.1164
2017-07-14,-0.5405
2017-07-17,-10.462
2017-07-18,-3.4901
2017-07-19,4.5597
2017-07-20,-1.9548999999999999
2017-07-21,0.4601
2017-07-24,13.1298
2017-07-25,1.2146
2017-07-26,-10.0
2017-07-27,-0.4444
2017-07-28,0.2976
2017-07-31,-1.9287999999999998
2017-08-01,-3.6309
2017-08-02,-2.6688
2017-08-03,0.3226
2017-08-04,-6.2701
2017-08-07,0.3431
2017-08-08,-0.6838
2017-08-09,7.401
2017-08-10,-17.6282
2017-08-11,-0.3891
2017-08-14,4.6875
2017-08-15,5.4104
2017-08-16,-2.6549
2017-08-17,-2.0
2017-08-18,-1.4842
2017-08-21,-1.3183
2017-08-22,0.1908
2017-08-23,4.1905
2017-08-24,0.1828
2017-08-25,-1.6423
2017-08-28,-0.1855
2017-08-29,-3.9032999999999998
2017-08-30,3.0948
2017-08-31,-1.6886
2017-09-01,-0.3817
2017-09-05,0.0
2017-09-06,4.7893
2017-09-07,-2.3766
2017-09-08,0.7491
2017-09-11,0.5576
2017-09-12,-0.7394
2017-09-13,0.3724
2017-09-14,4.8237
2017-09-15,7.2566
2017-09-18,-6.4356
2017-09-19,-2.8219
2017-09-20,-5.2632
2017-09-21,0.1916
2017-09-22,-0.7648
2017-09-25,6.7437000000000005
2017-09-26,4.6931
2017-09-27,0.0
2017-09-28,-3.6207000000000003
2017-09-29,-2.5045
2017-10-02,-0.1835
2017-10-03,-1.8382
2017-10-04,0.0
2017-10-05,-0.3745
2017-10-06,-1.3158
2017-10-09,-1.9048
2017-10-10,-1.165
2017-10-11,0.0
2017-10-12,-0.1965
2017-10-13,1.5748
2017-10-16,1.7442
2017-10-17,2.4762
2017-10-18,-1.487
2017-10-19,-2.4528
2017-10-20,-1.7408000000000001
2017-10-23,1.3780000000000001
2017-10-24,-1.3592
2017-10-25,-1.3780000000000001
2017-10-26,0.3992
2017-10-27,1.9881
2017-10-30,-2.3392
2017-10-31,-4.7904
2017-11-01,-2.0964
2017-11-02,-18.6296
2017-11-03,-0.2632
2017-11-06,2.3747
2017-11-07,-21.3918
2017-11-08,4.5902
2017-11-09,-3.1348
2017-11-10,2.589
2017-11-13,-3.4699999999999998
2017-11-14,0.0
