ticker,MSNI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-04-30,-1.2346
2019-07-24,-89.875
2019-12-09,-25.9259
2020-02-20,70.0
2020-02-28,0.0
2020-03-19,-60.7843
2020-07-17,0.0
