ticker,ESNT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-10-31,23.5294
2013-11-01,7.2857
2013-11-04,-2.308
2013-11-05,3.2712
2013-11-06,-2.7277
2013-11-07,-3.6183
2013-11-08,-0.2816
2013-11-11,-3.2
2013-11-12,-0.4375
2013-11-13,1.9531
2013-11-14,3.4483
2013-11-15,-1.8981
2013-11-18,0.4247
2013-11-19,-0.8929
2013-11-20,0.7587
2013-11-21,2.6353
2013-11-22,0.8712
2013-11-25,-2.7273
2013-11-26,1.9159000000000002
2013-11-27,0.0
2013-11-29,-0.321
2013-12-02,0.414
2013-12-03,-1.0536
2013-12-04,2.5
2013-12-05,-0.4065
2013-12-06,1.3152
2013-12-09,-1.3429
2013-12-10,-1.0889
2013-12-11,-1.1468
2013-12-12,-0.0928
2013-12-13,0.0
2013-12-16,-0.2787
2013-12-17,1.6768
2013-12-18,2.2904
2013-12-19,-1.7465000000000002
2013-12-20,5.2416
2013-12-23,-0.3898
2013-12-24,0.4348
2013-12-26,1.3853
2013-12-27,0.8113
2013-12-30,0.1694
2013-12-31,1.7336
2014-01-02,-2.8678
2014-01-03,2.7386
2014-01-06,-0.4165
2014-01-07,-0.5855
2014-01-08,-2.2297
2014-01-09,-0.6024
2014-01-10,0.7359
2014-01-13,-0.043
2014-01-14,0.9888
2014-01-15,4.8106
2014-01-16,-1.9903
2014-01-17,2.9424
2014-01-21,-0.0403
2014-01-22,1.4096
2014-01-23,-1.9062999999999999
2014-01-24,-2.0648
2014-01-27,-0.4547
2014-01-28,2.7824
2014-01-29,0.4848
2014-01-30,0.1206
2014-01-31,0.8032
2014-02-03,-1.3147
2014-02-04,-0.2422
2014-02-05,-1.2546
2014-02-06,-0.5738
2014-02-07,0.371
2014-02-10,-1.8479999999999999
2014-02-11,0.3766
2014-02-12,1.2922
2014-02-13,1.1111
2014-02-14,1.1396
2014-02-18,4.1046
2014-02-19,-4.2907
2014-02-20,1.979
2014-02-21,-2.4554
2014-02-24,-0.4872
2014-02-25,-1.02
2014-02-26,-2.0198
2014-02-27,-1.5566
2014-02-28,-0.8547
2014-03-03,0.7328
2014-03-04,1.7972000000000001
2014-03-05,0.3363
2014-03-06,-0.3351
2014-03-07,-0.5464
2014-03-10,-0.7608
2014-03-11,-3.7904999999999998
2014-03-12,2.7888
2014-03-13,0.7752
2014-03-14,-0.1282
2014-03-17,2.6102
2014-03-18,0.0834
2014-03-19,-1.0833
2014-03-20,1.1373
2014-03-21,-3.9567
2014-03-24,0.0867
