ticker,VMNT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-01-28,0.0
2016-01-29,25.0
2016-03-01,0.0
2016-04-01,-20.0
2016-06-30,25.0
2016-07-01,20.0
2016-07-19,23.3333
2016-07-22,-64.8649
2016-07-29,53.8462
2016-08-31,0.0
2016-09-13,-50.0
2016-09-26,35.0
2016-09-27,33.3333
2016-09-28,122.2222
2016-09-29,12.5
2016-09-30,33.3333
2016-10-03,-33.3333
2016-10-04,85.0
2016-10-05,-2.7027
2016-10-06,-27.7778
2016-10-07,11.538499999999999
2016-10-10,-5.1724
2016-10-11,-9.0909
2016-10-12,20.0
2016-10-14,1.6667
2016-10-17,-16.3934
2016-10-18,-1.9607999999999999
2016-10-27,-16.0
2016-10-31,0.0
2016-11-01,-2.3810000000000002
2016-11-02,21.9512
2016-11-03,-25.8
2016-11-04,-5.6604
2016-11-07,0.0
2016-11-08,0.0357
2016-11-10,-0.0357
2016-11-11,-14.2857
2016-11-14,33.3333
2016-11-15,29.9687
2016-11-16,-17.2878
2016-11-17,9.3314
2016-11-18,19.1173
2016-11-21,-1.7856999999999998
2016-11-22,-9.0909
2016-11-23,-0.025
2016-11-25,-19.98
2016-11-28,17.4687
2016-11-29,-7.1828
2016-11-30,-0.9602
2016-12-01,-0.4775
2016-12-02,3.2713
2016-12-05,-6.5184
2016-12-06,-5.7681000000000004
2016-12-07,12.514
2016-12-08,-9.3182
2016-12-09,-12.3277
2016-12-12,-2.8587
2016-12-13,-14.9531
2016-12-14,-6.2284
2016-12-15,-8.8561
2016-12-16,-2.4291
2016-12-19,-17.0643
2016-12-20,-0.0313
2016-12-21,0.0
2016-12-22,-7.4758
2016-12-23,0.0
2016-12-27,8.1812
2016-12-28,-10.0
2016-12-29,16.6667
2016-12-30,-7.9464
2017-01-03,3.7180999999999997
2017-01-04,-0.2494
2017-01-05,1.9375
2017-01-06,-0.6744
2017-01-09,6.2654
2017-01-10,11.5306
2017-01-11,12.5
2017-01-12,9.2593
2017-01-13,7.7966
2017-01-17,-5.6604
2017-01-18,-1.6667
2017-01-19,-16.8856
2017-01-20,1.9628
2017-01-23,4.0
2017-01-24,-1.9231
2017-01-25,1.9607999999999999
2017-01-26,3.8462
2017-01-27,11.1111
2017-01-30,-16.0
2017-01-31,9.127
2017-02-01,0.0
2017-02-02,-0.3636
2017-02-03,-10.9489
2017-02-06,-1.5880999999999998
2017-02-07,2.5247
2017-02-08,13.7345
2017-02-09,-7.1429
2017-02-10,1.9231
