ticker,SNBP US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-12-26,9.0909
2015-10-19,400.0
2015-10-28,91.3333
2015-11-02,1.0453
2015-11-04,0.0
2015-11-09,4.8276
2015-11-12,5.9211
2015-11-13,-0.6211
2015-11-18,1.5625
2015-11-19,3.6923
2015-11-30,0.0
2015-12-08,5.1929
2015-12-14,-1.2694
2015-12-16,0.0
2016-01-15,1.2857
2016-01-27,-23.8364
2016-02-02,-0.9259
2016-02-22,0.9346
2016-02-25,0.0
2016-03-23,-25.9259
2016-04-19,-2.5
2016-05-23,2.5641
2016-05-26,0.0
2016-05-31,12.5
2016-06-22,-11.1111
2016-07-14,0.0
2016-07-20,0.0
2016-07-28,-23.5625
2016-09-30,-1.8806
2016-10-05,16.6667
2016-10-06,4.2857
2016-10-10,2.7397
2016-10-12,0.8
2016-10-14,0.5291
2016-10-17,2.6316
2016-10-24,-7.6923
2016-10-28,-2.7778
2016-11-03,0.0
2016-11-16,-7.1429
2016-11-22,-75.6923
2016-11-23,184.8101
2016-11-28,-22.2222
2016-11-29,-3.4286
2016-11-30,6.5089
2016-12-01,-57.2222
2016-12-05,6.4935
2016-12-06,113.4146
2016-12-08,-13.7143
2016-12-13,-0.6623
2016-12-14,0.0
2016-12-15,0.0
2016-12-19,0.0
2016-12-20,0.0
2016-12-23,16.0
2017-01-03,-41.954
2017-01-04,48.5149
2017-01-06,-32.6667
2017-01-09,0.0
2017-01-10,0.0
2017-01-11,0.0
2017-01-12,33.6634
2017-01-13,0.0
2017-01-17,0.0
2017-01-25,-25.9259
2017-01-26,0.0
2017-01-30,-45.0
2017-01-31,63.6364
2017-02-01,94.4444
2017-02-02,0.0
2017-02-03,2.8571
2017-02-06,-2.7778
2017-02-09,0.0
2017-02-10,0.0
2017-02-13,-14.2857
2017-02-16,0.0
2017-02-21,16.6667
2017-02-24,5.7143
2017-02-27,35.1351
2017-02-28,0.0
2017-03-01,-6.0
2017-03-02,6.383
2017-03-06,0.0
2017-03-07,40.0
2017-03-08,14.2857
2017-03-09,-6.25
2017-03-10,4.0
2017-03-14,-1.2821
2017-03-15,1.9481000000000002
2017-03-16,-7.0064
2017-03-23,-17.8082
2017-03-29,-8.3333
2017-03-30,9.0909
2017-03-31,-0.6333
2017-04-04,-7.7491
2017-04-06,-7.1273
2017-04-07,-11.9029
2017-04-10,-4.4444
2017-04-11,7.1628
2017-04-12,10.178
2017-04-13,-15.3043
2017-04-17,0.0
2017-04-18,-6.9767
2017-04-19,-2.5
