ticker,EB US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-09-20,58.6957
2018-09-21,-6.1644
2018-09-24,-0.1168
2018-09-25,5.8755
2018-09-26,3.4234999999999998
2018-09-27,-2.1623
2018-09-28,3.6016
2018-10-01,-2.344
2018-10-02,-7.3894
2018-10-03,1.5725
2018-10-04,-3.383
2018-10-05,-6.1128
2018-10-08,-5.8154
2018-10-09,-1.3087
2018-10-10,-5.1343
2018-10-11,0.0717
2018-10-12,0.2865
2018-10-15,-0.5
2018-10-16,2.6202
2018-10-17,6.8555
2018-10-18,-4.8773
2018-10-19,-7.8802
2018-10-22,-2.5775
2018-10-23,3.8344
2018-10-24,-7.2378
2018-10-25,5.414
2018-10-26,-3.5498
2018-10-29,1.3312
2018-10-30,9.8532
2018-10-31,-0.4573
2018-11-01,-0.1767
2018-11-02,6.5841
2018-11-05,-0.1993
2018-11-06,1.2978
2018-11-07,4.435
2018-11-08,6.5115
2018-11-09,-3.9575
2018-11-12,-4.7355
2018-11-13,-6.5526
2018-11-14,-7.0121
2018-11-15,7.7266
2018-11-16,5.8276
2018-11-19,-5.2786
2018-11-20,-3.5088
2018-11-21,-0.2139
2018-11-23,1.5363
2018-11-26,-0.1056
2018-11-27,3.9451
2018-11-28,1.6604999999999999
2018-11-29,4.2667
2018-11-30,-5.0192
2018-12-03,-3.7361
2018-12-04,0.7692
2018-12-06,0.6593
2018-12-07,4.2399000000000004
2018-12-10,3.9683
2018-12-11,-1.3041
2018-12-12,2.6748
2018-12-13,-0.5022
2018-12-14,1.7035
2018-12-17,-4.0943
2018-12-18,4.6248000000000005
2018-12-19,1.5765
2018-12-20,-13.2075
2018-12-21,-7.784
2018-12-24,5.5513
2018-12-26,3.6383
2018-12-27,2.0507
2018-12-28,-3.2357
2018-12-31,-2.1119
2019-01-02,-0.036
2019-01-03,-1.3669
2019-01-04,7.6951
2019-01-07,3.2509
2019-01-08,0.0
2019-01-09,2.6238
2019-01-10,2.2691
2019-01-11,-4.6875
2019-01-14,-0.1639
2019-01-15,0.9524
2019-01-16,1.1061
2019-01-17,-1.4479
2019-01-18,1.7955999999999999
2019-01-22,-3.2713
2019-01-23,-0.1326
2019-01-24,2.3572
2019-01-25,-0.1622
2019-01-28,3.3138
2019-01-29,-2.1069
2019-01-30,-0.5782
2019-01-31,-3.0372
2019-02-01,-0.5332
2019-02-04,5.3936
2019-02-05,-0.5086
2019-02-06,-1.5335
2019-02-07,-1.4276
2019-02-08,1.2179
2019-02-11,1.9837
