ticker,KDNY US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-04-15,147.0588
2015-04-16,-6.1905
2015-04-17,1.5228000000000002
2015-04-20,7.0
2015-04-21,-9.6495
2015-04-22,-1.293
2015-04-23,-4.6633
2015-04-24,-1.0717
2015-04-27,-10.9444
2015-04-28,-12.7573
2015-04-29,-1.8234
2015-04-30,-7.5018
2015-05-01,2.7165
2015-05-04,12.4186
2015-05-05,-5.5234
2015-05-06,1.0105
2015-05-07,2.2508
2015-05-08,7.7918
2015-05-11,-0.2269
2015-05-12,4.256
2015-05-13,4.986
2015-05-14,-2.434
2015-05-15,-4.2592
2015-05-18,-4.258
2015-05-19,-5.2439
2015-05-20,4.6235
2015-05-21,5.3565
2015-05-22,-1.0168
2015-05-26,1.1557
2015-05-27,1.8089
2015-05-28,-1.091
2015-05-29,6.4608
2015-06-01,-2.6051
2015-06-02,-4.5897
2015-06-03,3.2176
2015-06-04,3.179
2015-06-05,5.4442
2015-06-08,-3.4043
2015-06-09,-4.7283
2015-06-10,1.7570999999999999
2015-06-11,1.0906
2015-06-12,1.2286
2015-06-15,6.5719
2015-06-16,-1.5556
2015-06-17,-0.254
2015-06-18,-0.5941
2015-06-19,4.7809
2015-06-22,-2.7974
2015-06-23,1.8161
2015-06-24,-1.5368
2015-06-25,-5.7971
2015-06-26,-3.2249
2015-06-29,-9.5689
2015-06-30,2.5355
2015-07-01,1.5167000000000002
2015-07-02,1.2991
2015-07-06,0.2886
2015-07-07,1.1509
2015-07-08,-5.3729
2015-07-09,1.2024
2015-07-10,0.9241
2015-07-13,-0.0654
2015-07-14,0.9162
2015-07-15,0.3567
2015-07-16,-3.4895
2015-07-17,-3.9839
2015-07-20,-3.417
2015-07-21,2.8881
2015-07-22,2.1754
2015-07-23,-1.3393
2015-07-24,-7.1006
2015-07-27,-1.0865
2015-07-28,0.6818
2015-07-29,-0.9406
2015-07-30,-2.0509
2015-07-31,1.6673
2015-08-03,-3.8139
2015-08-04,-4.2823
2015-08-05,0.7871
2015-08-06,-1.6441
2015-08-07,-3.0088
2015-08-10,2.0681
2015-08-11,-2.9126
2015-08-12,0.5652
2015-08-13,-3.4154999999999998
2015-08-14,-6.7592
2015-08-17,3.6966
2015-08-18,-0.1389
2015-08-19,-0.9736
2015-08-20,-5.8052
2015-08-21,-3.3797
2015-08-24,-2.5206
2015-08-25,-5.4354
2015-08-26,7.9241
2015-08-27,12.7715
2015-08-28,-5.5021
2015-08-31,-6.065
