ticker,BITA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-11-17,3.75
2010-11-18,-2.008
2010-11-19,-1.2295
2010-11-22,-0.4149
2010-11-23,0.3333
2010-11-24,12.4585
2010-11-26,2.2895
2010-11-29,-3.2491
2010-11-30,-4.1045
2010-12-01,-6.07
2010-12-02,-0.9942
2010-12-03,-0.4184
2010-12-06,0.5042
2010-12-07,-8.7793
2010-12-08,-7.9743
2010-12-09,-13.5458
2010-12-10,4.1475
2010-12-13,-0.885
2010-12-14,0.1116
2010-12-15,-2.3411
2010-12-16,-2.5114
2010-12-17,-0.9368
2010-12-20,4.0189
2010-12-21,-2.0455
2010-12-22,-1.0441
2010-12-23,3.0481
2010-12-27,3.6405
2010-12-28,2.0842
2010-12-29,-3.117
2010-12-30,-2.7747
2010-12-31,0.9132
2011-01-03,1.4706000000000001
2011-01-04,-4.5708
2011-01-05,2.9206
2011-01-06,-0.1135
2011-01-07,-2.0455
2011-01-10,0.9281
2011-01-11,0.3448
2011-01-12,1.4891
2011-01-13,0.6772
2011-01-14,-0.7848
2011-01-18,5.7627
2011-01-19,11.538499999999999
2011-01-20,1.0536
2011-01-21,4.455
2011-01-24,-0.1815
2011-01-25,-1.6364
2011-01-26,-1.2939
2011-01-27,0.6554
2011-01-28,-0.3721
2011-01-31,1.2138
2011-02-01,1.6052
2011-02-02,-0.118
2011-02-03,3.3542
2011-02-04,-1.6799
2011-02-07,-0.6172
2011-02-08,-0.9001
2011-02-09,-0.0091
2011-02-10,-0.0818
2011-02-11,0.0909
2011-02-14,-0.0999
2011-02-15,-2.6275
2011-02-16,-2.0355
2011-02-17,-2.4018
2011-02-18,-2.3438
2011-02-22,-3.0
2011-02-23,1.0309
2011-02-24,-0.8163
2011-02-25,3.1893
2011-02-28,4.0877
2011-03-01,2.9693
2011-03-02,1.3953
2011-03-03,9.9083
2011-03-04,6.01
2011-03-07,-2.2047
2011-03-08,0.6441
2011-03-09,0.08
2011-03-10,-4.4764
2011-03-11,-0.8368
2011-03-14,0.7595
2011-03-15,-2.6884
2011-03-16,0.0947
2011-03-17,-0.6879
2011-03-18,2.0779
2011-03-21,0.6785
2011-03-22,-1.8534000000000002
2011-03-23,-1.8026
2011-03-24,0.7867
2011-03-25,2.6019
2011-03-28,1.1834
2011-03-29,-0.1671
2011-03-30,1.7572999999999999
2011-03-31,-1.7269999999999999
2011-04-01,-2.1757
2011-04-04,-3.6784
2011-04-05,-1.7762
2011-04-06,-1.3562
2011-04-07,1.1916
