ticker,SPI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-01-11,-14.2857
2016-01-12,8.3333
2016-01-13,7.6923
2016-01-14,0.0
2016-01-15,35.0
2016-01-19,-15.3439
2016-01-20,3.318
2016-01-21,-0.9732
2016-01-22,-3.8485
2016-01-25,-10.6734
2016-01-26,0.6401
2016-01-27,-4.0751
2016-01-28,3.1431
2016-01-29,-0.7143
2016-02-01,-10.7914
2016-02-02,-4.5968
2016-02-03,-32.3753
2016-02-04,-21.560200000000002
2016-02-05,16.0125
2016-02-08,7.967
2016-02-09,1.8321
2016-02-10,-1.2993999999999999
2016-02-11,-12.0253
2016-02-12,-1.4388
2016-02-16,11.5447
2016-02-17,2.9995000000000003
2016-02-18,5.5908999999999995
2016-02-19,0.7423
2016-02-22,5.8807
2016-02-23,-0.1579
2016-02-24,0.565
2016-02-25,-3.1292
2016-02-26,3.961
2016-02-29,-0.926
2016-03-01,-9.7973
2016-03-02,3.9747
2016-03-03,-3.2224
2016-03-04,1.4888
2016-03-07,-3.4856
2016-03-08,1.2049
2016-03-09,-2.2778
2016-03-10,-3.6885
2016-03-11,-4.5595
2016-03-14,-5.6655999999999995
2016-03-15,-6.9493
2016-03-16,3.5268
2016-03-17,-4.9399
2016-03-18,1.4516
2016-03-21,0.9539
2016-03-22,-2.3622
2016-03-23,-1.4133
2016-03-24,4.542
2016-03-28,-5.0078
2016-03-29,-4.4481
2016-03-30,4.3103
2016-03-31,-10.2479
2016-04-01,1.8416000000000001
2016-04-04,-2.3508
2016-04-05,0.9259
2016-04-06,0.086
2016-04-07,-0.6359
2016-04-08,2.0295
2016-04-11,-9.4033
2016-04-12,-0.1996
2016-04-13,0.6
2016-04-14,0.3976
2016-04-15,2.7723
2016-04-18,2.1195
2016-04-19,4.9056999999999995
2016-04-20,3.4173
2016-04-21,0.3478
2016-04-22,1.5598
2016-04-25,4.2661999999999995
2016-04-26,-7.6923
2016-04-27,-2.4823
2016-04-28,-9.0909
2016-04-29,0.4
2016-05-02,34.4622
2016-05-03,3.4074
2016-05-04,31.5186
2016-05-05,1.3072
2016-05-06,-18.3871
2016-05-09,14.6245
2016-05-10,-9.7701
2016-05-11,1.9108
2016-05-12,-2.25
2016-05-13,3.9642
2016-05-16,-1.599
2016-05-17,-5.0
2016-05-18,-2.3684
2016-05-19,-13.8814
2016-05-20,-2.9734
2016-05-23,-14.5161
2016-05-24,-5.8491
2016-05-25,0.2004
2016-05-26,0.2
2016-05-27,-0.1996
2016-05-31,0.0
