ticker,STAY US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-11-13,19.35
2013-11-14,-1.5501
2013-11-15,1.4894
2013-11-18,-0.2096
2013-11-19,-1.6387
2013-11-20,1.4524
2013-11-21,0.9684
2013-11-22,0.2919
2013-11-25,0.1247
2013-11-26,-0.8721
2013-11-27,3.2677
2013-11-29,2.1501
2013-12-02,0.1589
2013-12-03,0.2379
2013-12-04,0.1187
2013-12-05,-1.5409000000000002
2013-12-06,0.7223
2013-12-09,0.757
2013-12-10,-1.3444
2013-12-11,-0.7615
2013-12-12,-1.979
2013-12-13,-1.3597000000000001
2013-12-16,3.5505
2013-12-17,-1.0891
2013-12-18,0.9788
2013-12-19,0.6058
2013-12-20,-0.2007
2013-12-23,-0.0402
2013-12-24,0.6841
2013-12-26,0.4796
2013-12-27,1.1138
2013-12-30,2.8718
2013-12-31,0.4207
2014-01-02,-0.1523
2014-01-03,-0.6102
2014-01-06,-1.2663
2014-01-07,-0.1166
2014-01-08,-1.7899
2014-01-09,-0.9509
2014-01-10,0.2
2014-01-13,-0.1996
2014-01-14,-0.76
2014-01-15,0.8061
2014-01-16,0.12
2014-01-17,-0.1597
2014-01-21,1.0
2014-01-22,1.2673
2014-01-23,-1.9945
2014-01-24,-2.4741
2014-01-27,-0.7365
2014-01-28,0.1649
2014-01-29,0.0823
2014-01-30,3.6184
2014-01-31,0.9921
2014-02-03,-2.5933
2014-02-04,1.8959000000000001
2014-02-05,-1.0293
2014-02-06,0.68
2014-02-07,1.2713999999999999
2014-02-10,0.1962
2014-02-11,0.9397
2014-02-12,0.0388
2014-02-13,0.7755
2014-02-14,1.3467
2014-02-18,0.5695
2014-02-19,0.0
2014-02-20,-0.906
2014-02-21,0.0762
2014-02-24,1.142
2014-02-25,-0.4516
2014-02-26,-5.2174
2014-02-27,1.1169
2014-02-28,0.5128
2014-03-03,-1.0597
2014-03-04,1.5072999999999999
2014-03-05,1.4068
2014-03-06,-0.1927
2014-03-07,0.9653
2014-03-10,-1.7208
2014-03-11,-2.6542
2014-03-12,-3.4483
2014-03-13,-1.2043
2014-03-14,-1.8075
2014-03-17,1.113
2014-03-18,1.1431
2014-03-19,-2.7627
2014-03-20,0.904
2014-03-21,3.1997
2014-03-24,-1.2402
2014-03-25,-0.1674
2014-03-26,-1.7610000000000001
2014-03-27,-2.9449
2014-03-28,-0.4398
2014-03-31,0.5742
2014-04-01,1.2297
2014-04-02,1.2147999999999999
2014-04-03,1.7145000000000001
2014-04-04,0.4214
