ticker,XENO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-08-04,0.0
2006-08-09,33.3333
2006-08-11,61.7647
2006-08-15,9.0909
2006-08-16,33.3333
2006-08-18,26.25
2006-08-22,48.5149
2006-08-23,0.0
2006-08-31,0.0
2006-09-01,16.6667
2006-09-05,22.8571
2006-09-06,45.3488
2006-09-18,20.0
2006-09-19,13.3333
2006-09-21,-11.7647
2006-09-28,0.0
2006-09-29,4.0
2006-10-02,-3.0769
2006-10-04,-0.1323
2006-10-05,1.3245
2006-10-09,7.5163
2006-10-10,2.8875
2006-10-11,-2.5111
2006-10-12,3.0303
2006-10-13,0.0
2006-10-16,2.9412000000000003
2006-10-17,0.0
2006-10-18,5.7143
2006-10-19,-5.8108
2006-10-20,5.8824
2006-10-23,8.4011
2006-10-24,-7.5
2006-10-25,-5.4054
2006-10-26,-0.1143
2006-10-27,0.1144
2006-10-31,0.0
2006-11-01,1.0286
2006-11-02,-1.1878
2006-11-03,-5.5524000000000004
2006-11-06,-9.0909
2006-11-07,3.3333
2006-11-10,0.0
2006-11-14,-3.2258
2006-11-15,6.6667
2006-11-17,-12.5
2006-11-20,-7.1429
2006-11-21,3.8462
2006-11-22,-0.2963
2006-11-27,-7.1322
2006-11-30,20.0
2006-12-01,17.0
2006-12-04,-0.114
2006-12-05,-3.166
2006-12-07,-5.891
2006-12-11,9.5462
2006-12-12,-11.4286
2006-12-14,3.2258
2006-12-15,6.25
2006-12-21,-0.2353
2006-12-27,3.184
2006-12-28,-0.1714
2007-01-03,0.0
2007-01-04,0.0
2007-01-05,0.3434
2007-01-08,2.6811
2007-01-09,-8.3333
2007-01-10,6.0606
2007-01-11,0.0
2007-01-16,0.0
2007-01-17,-0.2286
2007-01-18,0.0
2007-01-25,-2.7491
2007-01-29,-0.0589
2007-01-31,-0.1179
2007-02-01,-0.295
2007-02-02,0.0
2007-02-05,-0.4438
2007-02-14,-0.1486
2007-02-16,-1.7856999999999998
2007-02-20,-3.0303
2007-02-21,-6.4375
2007-02-22,-5.1436
2007-02-23,-1.338
2007-02-27,0.6424
2007-02-28,0.0
2007-03-02,-0.922
2007-03-05,0.2147
2007-03-06,-0.25
2007-03-08,1.6827999999999999
2007-03-14,-2.1127
2007-03-15,7.9137
2007-03-16,-6.9333
2007-03-19,0.2865
2007-03-20,-0.25
2007-03-21,-0.0358
2007-03-27,7.4499
2007-03-28,-6.5
2007-04-02,3.1239
2007-04-03,0.0475
2007-04-04,-0.0346
2007-04-05,-0.0346
