ticker,IHAI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-19,-71.1111
2000-02-29,92.3077
2000-03-01,0.0
2000-03-02,0.0
2000-03-03,0.0
2000-03-06,100.0
2000-03-07,0.0
2000-03-08,0.0
2000-03-09,0.0
2000-03-10,10.0
2000-03-13,0.0
2000-03-14,-9.0909
2000-03-15,-10.0
2000-03-16,-15.5556
2000-03-17,-47.3684
2000-03-20,0.0
2000-03-21,0.0
2000-03-27,25.0
2000-03-28,0.0
2000-03-29,0.0
2000-03-31,0.0
2000-04-03,-28.0
2000-04-05,61.1111
2000-04-06,0.0
2000-04-11,0.0
2000-04-14,0.0
2000-04-19,-13.7931
2000-04-20,-52.0
2000-05-05,33.3333
2000-05-08,0.0
2000-05-09,0.0
2000-05-11,-37.5
2000-05-15,30.0
2000-05-17,0.0
2000-05-22,-23.0769
2000-05-23,30.0
2000-05-30,0.0
2000-06-30,-30.7692
2000-07-14,11.1111
2000-07-20,-30.0
2000-07-28,0.0
2000-08-03,0.0
2000-10-25,185.7143
2000-12-08,25.0
2000-12-13,0.0
2000-12-18,0.0
2000-12-29,0.0
2001-01-12,304.0
2001-01-29,-62.8713
2001-02-23,6.6667
2001-03-14,0.0
2001-06-29,-37.5
2001-10-02,-16.0
2001-12-27,-76.1905
2002-09-06,-90.0
2002-10-11,0.0
2002-12-09,0.0
2002-12-27,0.0
2003-11-25,0.0
2004-06-07,100.0
2004-07-14,400.0
2004-09-08,0.0
2004-09-13,0.0
2004-10-04,20.0
2004-10-27,233.3333
2004-10-28,35.0
2004-11-09,48.1481
2004-11-16,37.5
2004-11-17,0.0
2004-11-22,-9.0909
2004-12-02,0.0
2004-12-07,50.0
2004-12-15,-13.3333
2004-12-20,13.8462
2004-12-21,-12.1622
2004-12-23,-53.8462
2004-12-28,0.0
2004-12-30,66.6667
2004-12-31,-36.0
2005-01-04,78.125
2005-01-05,15.7895
2005-01-06,6.0606
2005-01-07,-7.1429
2005-01-10,0.0
2005-01-12,-18.4615
2005-01-18,3.2075
2005-01-24,11.5174
2005-01-26,-16.3934
2005-01-28,-21.5686
2005-01-31,27.5
2005-02-01,0.0
2005-02-02,1.9607999999999999
2005-02-04,-21.1538
2005-02-07,-2.439
2005-02-08,30.0
2005-02-09,0.0
2005-02-24,7.6923
2005-04-04,-1.7856999999999998
2005-04-05,-7.2727
2005-04-07,-19.6078
2005-04-28,-26.8293
2005-05-06,53.3333
2005-05-09,-21.7391
2005-05-10,5.5556
2005-05-11,-2.6316
