ticker,IROQ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-07-08,16.7
2011-07-11,-0.1714
2011-07-12,0.4292
2011-07-13,-0.9402
2011-07-14,-0.2588
2011-07-15,0.7785
2011-07-18,0.0
2011-07-19,0.7725
2011-07-20,-0.6814
2011-07-21,-0.3431
2011-07-22,-0.1893
2011-07-25,-0.3276
2011-07-26,-0.2595
2011-07-27,-0.3469
2011-07-28,-0.3481
2011-07-29,-0.3493
2011-08-01,0.2629
2011-08-02,-0.5245
2011-08-03,-0.1977
2011-08-04,-2.3553
2011-08-05,-0.8115
2011-08-08,-1.3636
2011-08-09,0.0
2011-08-10,1.0138
2011-08-11,-0.2737
2011-08-12,-0.2745
2011-08-15,1.8349
2011-08-16,-2.7927999999999997
2011-08-17,2.1316
2011-08-18,-1.0889
2011-08-19,-1.3761
2011-08-22,0.4651
2011-08-23,0.9259
2011-08-24,0.0
2011-08-26,-0.367
2011-08-29,0.9208
2011-08-30,0.2737
2011-08-31,0.091
2011-09-01,-1.2727
2011-09-02,-0.4604
2011-09-06,2.0352
2011-09-07,-0.1813
2011-09-08,0.0
2011-09-09,0.1817
2011-09-12,0.0
2011-09-13,-0.0907
2011-09-14,0.0
2011-09-15,-0.2722
2011-09-16,-1.1829
2011-09-19,1.2891
2011-09-20,0.1818
2011-09-21,-0.9982
2011-09-22,0.8249
2011-09-23,-0.9091
2011-09-26,1.1927
2011-09-27,0.5984
2011-09-28,2.7397
2011-09-29,-2.3673
2011-09-30,-0.7199
2011-10-03,0.0
2011-10-04,0.4525
2011-10-05,-0.9009
2011-10-06,0.1818
2011-10-07,0.1815
2011-10-10,0.2717
2011-10-11,-0.6323
2011-10-12,0.0
2011-10-14,2.2727
2011-10-17,0.8
2011-10-18,-2.9981999999999998
2011-10-19,0.0
2011-10-20,0.7727
2011-10-21,0.1353
2011-10-24,2.7027
2011-10-25,-0.8772
2011-10-26,-2.2124
2011-10-27,2.3529
2011-10-31,-2.0336
2011-11-02,0.4513
2011-11-03,-0.2695
2011-11-07,0.0901
2011-11-08,-0.09
2011-11-09,1.2612999999999999
2011-11-10,-0.6228
2011-11-11,0.8057
2011-11-14,0.2664
2011-11-15,-2.0372
2011-11-16,1.2658
2011-11-18,0.8929
2011-11-22,-1.7699
2011-11-23,-0.3592
2011-11-28,0.9934
2011-12-01,-1.1638
2011-12-02,1.404
2011-12-05,-0.5806
2011-12-06,0.4492
2011-12-08,0.6351
2011-12-09,-1.3421
2011-12-12,0.7207
