ticker,NTAP US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,2.3326000000000002
2000-01-04,-12.6471
2000-01-05,5.5556
2000-01-06,-10.6061
2000-01-07,21.3202
2000-01-10,4.2647
2000-01-11,-6.9111
2000-01-12,5.6061
2000-01-13,-1.6141
2000-01-14,9.2964
2000-01-18,26.0841
2000-01-19,-8.1481
2000-01-20,5.9908
2000-01-21,1.8477999999999999
2000-01-24,-12.9136
2000-01-25,5.0858
2000-01-26,1.1078999999999999
2000-01-27,-5.075
2000-01-28,-3.5844
2000-01-31,1.1972
2000-02-01,7.4097
2000-02-02,4.9275
2000-02-03,1.326
2000-02-04,11.614
2000-02-07,-2.0029
2000-02-08,5.2841000000000005
2000-02-09,-2.5095
2000-02-10,8.2079
2000-02-11,11.2657
2000-02-14,-4.2759
2000-02-15,2.1913
2000-02-16,15.7526
2000-02-17,-0.6056
2000-02-18,-4.086
2000-02-22,0.8221
2000-02-23,6.0415
2000-02-24,11.849
2000-02-25,-3.5313
2000-02-28,-4.6323
2000-02-29,2.5815
2000-03-01,0.6954
2000-03-02,-0.4275
2000-03-03,5.6472999999999995
2000-03-06,6.0644
2000-03-07,0.2653
2000-03-08,2.6749
2000-03-09,10.1059
2000-03-10,-1.4561
2000-03-13,-3.6939
2000-03-14,-13.6164
2000-03-15,-12.1789
2000-03-16,5.4893
2000-03-17,9.9623
2000-03-20,-8.8107
2000-03-21,0.9986
2000-03-22,11.4848
2000-03-23,2.2438
2000-03-24,-5.1008
2000-03-27,-2.75
2000-03-28,-1.7351999999999999
2000-03-29,-3.9241
2000-03-30,-13.8189
2000-03-31,4.5814
2000-04-03,-17.9758
2000-04-04,-1.2891
2000-04-05,3.8246
2000-04-06,4.9416
2000-04-07,9.5034
2000-04-10,-15.4027
2000-04-11,-5.915
2000-04-12,-10.9037
2000-04-13,0.441
2000-04-14,-11.5258
2000-04-17,3.1017
2000-04-18,16.0048
2000-04-19,0.5187
2000-04-20,-6.0888
2000-04-24,-10.989
2000-04-25,35.8025
2000-04-26,-11.0909
2000-04-27,10.5317
2000-04-28,9.4357
2000-05-01,-3.973
2000-05-02,-8.0986
2000-05-03,2.2989
2000-05-04,1.6854
2000-05-05,2.9466
2000-05-08,-9.5707
2000-05-09,0.3956
2000-05-10,-8.5714
2000-05-11,-0.1078
2000-05-12,0.4315
2000-05-15,13.6412
2000-05-16,10.0189
2000-05-17,-5.4983
2000-05-18,0.3636
2000-05-19,-5.6159
2000-05-22,-0.096
