ticker,TSLX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-03-21,0.0
2014-03-24,0.625
2014-03-25,2.5465999999999998
2014-03-26,1.1508
2014-03-27,0.1796
2014-03-28,-0.9174
2014-03-31,2.4691
2014-04-01,0.0
2014-04-02,0.0
2014-04-03,0.3012
2014-04-04,0.0
2014-04-07,1.4414
2014-04-08,-0.4144
2014-04-09,0.5351
2014-04-10,-0.5322
2014-04-11,0.1189
2014-04-14,0.3563
2014-04-15,0.0
2014-04-16,3.3136
2014-04-17,1.1455
2014-04-21,-1.0193
2014-04-22,1.0297
2014-04-23,2.9445
2014-04-24,-0.5501
2014-04-25,1.1062
2014-04-28,0.8206
2014-04-29,-1.4107
2014-04-30,-0.1101
2014-05-01,0.9366
2014-05-02,-0.8188
2014-05-05,0.6054
2014-05-06,-0.6565
2014-05-07,-2.1476
2014-05-08,0.9567
2014-05-09,-0.1672
2014-05-12,0.335
2014-05-13,-0.1113
2014-05-14,-0.6128
2014-05-15,0.8969
2014-05-16,0.9444
2014-05-19,0.8255
2014-05-20,2.5109
2014-05-21,1.5974
2014-05-22,-0.4193
2014-05-23,1.0
2014-05-27,3.4393000000000002
2014-05-28,0.403
2014-05-29,4.4155
2014-05-30,1.826
2014-06-02,1.9821
2014-06-03,2.2675
2014-06-04,1.629
2014-06-05,-0.6679
2014-06-06,0.5379
2014-06-09,0.4012
2014-06-10,3.9964
2014-06-11,2.0495
2014-06-12,-4.8954
2014-06-13,-3.8715
2014-06-16,-13.0435
2014-06-17,3.1053
2014-06-18,-3.5733
2014-06-19,-0.1059
2014-06-20,-4.0276
2014-06-23,0.2761
2014-06-24,-0.3855
2014-06-25,2.0453
2014-06-26,3.467
2014-06-27,1.8162
2014-06-30,14.5331
2014-07-01,-1.6491
2014-07-02,1.537
2014-07-03,2.5688
2014-07-07,-1.6547
2014-07-08,-4.4566
2014-07-09,-0.5236
2014-07-10,-0.8612
2014-07-11,0.8687
2014-07-14,-1.6268
2014-07-15,0.4377
2014-07-16,-0.1937
2014-07-17,-0.8734
2014-07-18,1.3216
2014-07-21,-1.401
2014-07-22,0.8819
2014-07-23,-0.8742
2014-07-24,0.343
2014-07-25,0.0488
2014-07-28,-0.1464
2014-07-29,0.5865
2014-07-30,-0.6317
2014-07-31,-5.2812
2014-08-01,-1.6520000000000001
2014-08-04,1.2598
2014-08-05,-1.4515
2014-08-06,-7.4171
2014-08-07,1.875
2014-08-08,0.1115
2014-08-11,0.3343
2014-08-12,-0.4997
