ticker,NCNA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-09-28,7.6667
2017-09-29,13.7461
2017-10-02,-1.742
2017-10-03,3.1025
2017-10-04,0.5911
2017-10-05,-4.3803
2017-10-06,-5.0279
2017-10-09,-2.7647
2017-10-10,-1.6939
2017-10-11,-4.6769
2017-10-12,-6.714
2017-10-13,-0.4844
2017-10-16,-1.1822
2017-10-17,-1.126
2017-10-18,2.5623
2017-10-19,-0.2082
2017-10-20,-2.0862
2017-10-23,-1.2074
2017-10-24,-0.7908
2017-10-25,-6.6667
2017-10-26,-2.9503
2017-10-27,0.0
2017-10-30,0.0
2017-10-31,-9.12
2017-11-01,4.6655
2017-11-02,-12.111
2017-11-03,-1.9139
2017-11-06,0.2927
2017-11-07,7.0039
2017-11-08,1.3636
2017-11-09,-0.9865
2017-11-10,-0.3623
2017-11-13,0.1818
2017-11-14,2.6316
2017-11-15,0.5305
2017-11-16,-2.9903
2017-11-17,2.5385
2017-11-20,-2.7409
2017-11-21,3.3636
2017-11-22,7.0361
2017-11-24,6.9022
2017-11-27,-6.4566
2017-11-28,-0.8217
2017-11-29,-4.2254
2017-11-30,6.4014
2017-12-01,-3.5772
2017-12-04,4.5531
2017-12-05,-2.0968
2017-12-06,-2.6359
2017-12-07,-1.8613
2017-12-08,-0.8621
2017-12-11,-2.0
2017-12-12,-1.2422
2017-12-13,1.3477000000000001
2017-12-14,-5.3191
2017-12-15,2.9962999999999997
2017-12-18,-2.1818
2017-12-19,-0.0929
2017-12-20,-0.9302
2017-12-21,0.939
2017-12-22,-1.5814
2017-12-26,-1.9849
2017-12-27,0.3857
2017-12-28,-3.9385
2017-12-29,1.1
2018-01-02,-0.5935
2018-01-03,-0.0995
2018-01-04,1.2948
2018-01-05,8.2596
2018-01-08,11.6258
2018-01-09,3.4988
2018-01-10,4.0094
2018-01-11,3.7037
2018-01-12,4.2274
2018-01-16,-6.8530999999999995
2018-01-17,-0.8258
2018-01-18,9.6896
2018-01-19,41.5459
2018-01-22,6.2896
2018-01-23,4.8624
2018-01-24,5.9493
2018-01-25,14.6986
2018-01-26,1.6919
2018-01-29,-5.6637
2018-01-30,-7.0544
2018-01-31,-1.0497
2018-02-01,-1.0608
2018-02-02,-4.6186
2018-02-05,-0.8214
2018-02-06,0.0436
2018-02-07,-4.0523
2018-02-08,-3.8601
2018-02-09,-2.8814
2018-02-12,-7.8307
2018-02-13,5.5937
2018-02-14,3.3483
2018-02-15,-3.9652
2018-02-16,0.0504
