ticker,FOE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-2.2727
2000-01-04,-2.6163
2000-01-05,0.597
2000-01-06,4.451
2000-01-07,4.8295
2000-01-10,-2.439
2000-01-11,-1.1111
2000-01-12,-0.8427
2000-01-13,-0.2833
2000-01-14,1.7045
2000-01-18,-2.7933
2000-01-19,-0.2874
2000-01-20,-1.4409
2000-01-21,-3.5088
2000-01-24,-3.0303
2000-01-25,-0.3125
2000-01-26,5.0157
2000-01-27,-3.8806000000000003
2000-01-28,-5.2795
2000-01-31,2.2951
2000-02-01,-0.641
2000-02-02,-0.9677
2000-02-03,3.9088000000000003
2000-02-04,-1.5674000000000001
2000-02-07,-2.5478
2000-02-08,1.3072
2000-02-09,-3.5484
2000-02-10,-0.3344
2000-02-11,0.1074
2000-02-14,0.3378
2000-02-15,-0.3367
2000-02-16,0.6757
2000-02-17,2.0134
2000-02-18,0.0
2000-02-22,0.3289
2000-02-23,-0.3279
2000-02-24,-3.9474
2000-02-25,2.3973
2000-02-28,0.3344
2000-02-29,0.6667
2000-03-01,-3.9735
2000-03-02,-0.6897
2000-03-03,-0.6944
2000-03-06,0.3497
2000-03-07,0.0
2000-03-08,4.1812
2000-03-09,0.3344
2000-03-10,-0.6667
2000-03-13,-2.0134
2000-03-14,-0.3425
2000-03-15,-0.3436
2000-03-16,5.1724
2000-03-17,-2.9508
2000-03-20,0.6757
2000-03-21,-1.3423
2000-03-22,-2.0408
2000-03-23,-0.3472
2000-03-24,0.3484
2000-03-27,-0.6944
2000-03-28,-1.3986
2000-03-29,2.1277
2000-03-30,-0.3472
2000-03-31,-0.6969
2000-04-03,0.7018
2000-04-04,1.3937
2000-04-05,5.8419
2000-04-06,15.9091
2000-04-07,4.7619
2000-04-10,-3.4759
2000-04-11,3.0471
2000-04-12,2.4194
2000-04-13,0.2625
2000-04-14,-4.1885
2000-04-17,1.6393
2000-04-18,-0.2688
2000-04-19,0.8086
2000-04-20,-1.6042999999999998
2000-04-24,0.0
2000-04-25,2.1739
2000-04-26,-2.1277
2000-04-27,-1.087
2000-04-28,0.5495
2000-05-01,-0.2732
2000-05-02,-1.0959
2000-05-03,-0.831
2000-05-04,3.352
2000-05-05,1.6216
2000-05-08,-2.6596
2000-05-09,2.1858
2000-05-10,-3.4759
2000-05-11,1.7507000000000001
2000-05-12,-1.0959
2000-05-15,2.2161
2000-05-16,-1.084
2000-05-17,-0.5479
2000-05-18,-1.1019
2000-05-19,2.507
2000-05-22,-0.5435
