ticker,FIZN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-03-28,103.3898
2002-03-20,-28.482
2002-03-25,10.0
2007-09-21,97.8089
2007-10-09,0.7692
2007-10-10,0.0
2007-10-31,12.2689
2008-03-04,-16.3472
2008-06-06,-0.7068
2009-04-22,-24.9039
2010-01-19,-4.9881
2010-01-20,10.0
2010-02-10,-3.8636
2010-07-15,10.3118
2010-12-21,31.1659
2011-01-31,-0.8547
2011-02-15,-11.1111
2011-02-22,11.7188
2011-04-14,8.3916
2011-06-23,0.6494
2011-08-22,-8.9286
2011-08-26,5.1693
2011-09-09,5.0847
2012-03-19,4.4628
2012-03-20,4.4304
2012-09-17,16.3077
2014-01-17,3.2178
2014-01-29,18.2478
2014-06-13,-10.0
2014-06-17,0.0
2014-07-08,0.0
2014-07-14,7.2797
2014-07-15,7.1429
2014-07-23,-13.0
2014-07-24,12.3883
2014-07-29,-2.8409
2014-07-31,0.5848
2014-08-05,-4.6512
2014-08-07,-2.4146
2014-08-08,1.2247
2014-08-14,3.1056
2014-08-19,-2.1687
2014-09-04,5.9113
2014-09-26,0.0
2014-10-10,0.0
2015-02-03,1.2955999999999999
2015-02-04,0.0
2015-02-12,9.3023
2015-02-20,0.0
2015-03-03,0.0
2015-03-17,2.1277
2015-03-18,0.0
2015-05-27,-0.5445
2015-05-29,-0.4001
2015-06-09,0.0
2015-07-31,-0.6342
2015-08-04,0.0
2015-11-11,-2.4599
2015-11-12,0.0
2015-11-16,0.0
2015-11-17,2.5219
2015-11-25,3.7433
2016-02-17,-2.3109
2016-02-19,7.5269
2016-02-26,-8.5
2016-03-18,9.2896
2016-04-28,-6.98
2016-04-29,0.0
2016-05-10,9.6538
2016-05-16,-3.9409
2016-05-17,-1.0256
2016-06-07,-0.2902
2016-08-31,0.6059
2016-09-09,5.9190000000000005
2016-09-13,0.0
2016-09-23,0.0
2016-09-30,-5.5882
2016-10-05,0.0
2016-10-07,5.9190000000000005
2016-12-06,1.291
2017-01-25,1.9607999999999999
2017-02-23,0.4831
2017-03-16,0.0
2017-03-21,0.0
2017-05-19,-5.314
2017-05-22,-0.5102
2017-05-26,-4.6154
2017-06-14,0.0
2017-07-25,-1.3763
2017-07-27,0.0
2017-08-03,4.6664
2017-08-11,35.9375
2017-08-14,-28.2154
2017-08-15,30.733
2017-09-13,-4.0984
2017-10-25,-17.9487
2017-11-03,21.875
2017-11-15,0.0
2018-01-22,-9.8701
2018-06-14,17.3955
2018-06-25,-12.6656
2018-07-05,14.5024
2018-07-24,-8.9404
2018-07-26,1.8182
2018-07-27,1.7856999999999998
2018-08-16,3.0864
2018-10-10,-3.6441
2018-10-23,-0.1243
2018-10-24,-3.0756
2018-10-25,-0.5686
2018-10-29,-0.2029
2018-11-07,0.0185
2018-11-13,0.2587
2018-11-15,14.2857
2019-01-10,-11.4845
2019-02-05,3.2068
2019-02-07,10.7143
2019-04-25,-6.8071
2019-04-29,1.7391
2019-04-30,0.0171
2019-05-02,5.9648
2019-06-11,-8.3468
2019-06-12,0.7958
2019-06-18,3.5965
2019-06-25,4.9958
2019-07-29,-1.6129
2019-10-07,-6.0956
2019-10-24,8.7719
2020-02-14,-7.225
2020-02-25,6.1947
2020-03-06,-3.5
2020-03-10,-2.3834
2020-03-16,-0.5662
2020-03-20,-5.694
2020-04-14,0.0
2020-04-28,0.0
2020-05-07,0.0
2020-05-13,-1.8868
2020-05-27,-20.6963
2020-06-12,12.1951
2020-07-16,8.6957
2020-07-23,0.02
2020-07-30,5.9788
