ticker,DLPN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-10-24,0.0
2006-10-31,-41.1765
2006-11-02,6.6667
2006-12-06,59.375
2007-01-04,292.1569
2007-01-05,25.0
2007-01-10,-40.0
2007-01-17,0.0
2007-01-18,-82.0
2007-01-19,455.5556
2007-01-23,-84.0
2007-01-24,-33.3333
2007-01-25,25.0
2007-01-29,45.0
2007-01-30,0.0
2007-01-31,-39.6552
2007-02-01,-14.2857
2007-02-05,-20.0
2007-02-07,1.6667
2007-02-08,-1.6393
2007-02-12,-16.6667
2007-02-15,150.0
2007-02-16,-40.0
2007-02-20,33.3333
2007-02-22,50.0
2007-02-23,0.0
2007-02-26,0.0
2007-02-27,-13.3333
2007-03-07,0.0
2007-03-13,-30.7692
2007-03-14,-16.6667
2007-03-20,-20.0
2007-03-21,-16.6667
2007-03-22,-20.0
2007-04-04,0.0
2007-04-12,-6.25
2007-04-13,-33.3333
2007-04-26,100.0
2007-05-04,-20.0
2007-05-14,12.5
2007-05-15,11.1111
2007-05-17,10.0
2007-05-18,-9.0909
2007-05-22,-16.6667
2007-05-23,31.2
2007-05-24,-8.5366
2007-05-25,0.0
2007-05-29,16.6667
2007-05-30,20.0
2007-05-31,30.9524
2007-06-01,3.6364
2007-06-04,3.5088
2007-06-05,3.3898
2007-06-06,6.5574
2007-06-07,-7.6923
2007-06-08,8.3333
2007-06-11,0.9231
2007-06-12,-8.5366
2007-06-13,5.0
2007-06-14,3.1746
2007-06-19,-7.6923
2007-06-20,0.0
2007-06-21,-38.3333
2007-06-22,0.0
2007-06-25,35.1351
2007-06-27,14.0
2007-07-02,0.0
2007-07-05,-54.0351
2007-07-06,37.4046
2007-07-09,-11.1111
2007-07-10,6.25
2007-07-11,-8.8235
2007-07-12,90.3226
2007-07-13,-8.4746
2007-07-16,1.8519
2007-07-17,7.2727
2007-07-18,-8.4746
2007-07-19,-11.1111
2007-07-20,-4.1667
2007-07-23,8.6957
2007-07-24,4.0
2007-07-25,-11.538499999999999
2007-07-26,4.3478
2007-07-27,-43.75
2007-07-30,55.5556
2007-07-31,0.0
2007-08-01,-4.7619
2007-08-02,0.0
2007-08-03,5.0
2007-08-06,-4.7619
2007-08-07,-2.5
2007-08-08,0.0
2007-08-09,0.0
2007-08-15,-28.2051
2007-08-16,10.0
2007-08-17,-5.8442
2007-08-20,-6.8966
2007-08-21,-11.1111
2007-08-23,0.0
2007-08-24,25.0
2007-08-27,-20.0
2007-08-28,8.3333
2007-08-29,-15.3846
