ticker,RH US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-11-02,29.5833
2012-11-05,7.074
2012-11-06,0.0
2012-11-07,-2.5526
2012-11-08,1.9414
2012-11-09,-2.8718
2012-11-12,0.3268
2012-11-13,0.5429
2012-11-14,3.0238
2012-11-15,0.7188
2012-11-16,2.4383
2012-11-19,0.3483
2012-11-20,1.4753
2012-11-21,0.1137
2012-11-23,1.0539
2012-11-26,7.0442
2012-11-27,-5.8173
2012-11-28,3.1302
2012-11-29,0.271
2012-11-30,-0.2703
2012-12-03,-0.4336
2012-12-04,-0.1089
2012-12-05,-1.9074
2012-12-06,2.0
2012-12-07,0.0545
2012-12-10,-0.6532
2012-12-11,-1.2055
2012-12-12,1.7471
2012-12-13,-4.8787
2012-12-14,-1.1175
2012-12-17,-2.2892
2012-12-18,-3.0249
2012-12-19,0.8257
2012-12-20,-2.9421
2012-12-21,-1.5937999999999999
2012-12-24,2.731
2012-12-26,0.0618
2012-12-27,1.2048
2012-12-28,3.4493
2012-12-31,-0.4721
2013-01-02,-1.4824
2013-01-03,3.4908
2013-01-04,-0.2908
2013-01-07,-3.8495
2013-01-08,-2.3658
2013-01-09,2.6715999999999998
2013-01-10,-0.8169
2013-01-11,0.122
2013-01-14,-0.0609
2013-01-15,-0.7622
2013-01-16,-0.768
2013-01-17,5.2012
2013-01-18,3.4726
2013-01-22,1.6212
2013-01-23,-0.084
2013-01-24,1.4846
2013-01-25,-0.414
2013-01-28,-0.6652
2013-01-29,0.6975
2013-01-30,0.1108
2013-01-31,-0.3598
2013-02-01,0.6389
2013-02-04,0.4416
2013-02-05,3.0778
2013-02-06,3.759
2013-02-07,0.0771
2013-02-08,0.3338
2013-02-11,0.2303
2013-02-12,0.9191
2013-02-13,-0.2277
2013-02-14,-1.5213
2013-02-15,-1.2873
2013-02-19,1.278
2013-02-20,-1.983
2013-02-21,-3.3631
2013-02-22,0.6253
2013-02-25,-3.6747
2013-02-26,1.5708
2013-02-27,0.6628
2013-02-28,5.9259
2013-03-01,-2.7195
2013-03-04,5.0053
2013-03-05,0.2789
2013-03-06,0.0759
2013-03-07,-0.0758
2013-03-08,-2.4779
2013-03-11,0.4667
2013-03-12,-1.1355
2013-03-13,-1.2006999999999999
2013-03-14,1.1889
2013-03-15,-3.3943
2013-03-18,-0.9189
2013-03-19,-2.3731999999999998
2013-03-20,-2.9058
2013-03-21,0.4892
2013-03-22,0.1145
2013-03-25,0.4005
2013-03-26,1.2251
2013-03-27,-1.6324
