ticker,HTZGQ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-11-16,4.8
2006-11-17,-0.3817
2006-11-20,2.8097
2006-11-21,-3.0435
2006-11-22,-1.2812000000000001
2006-11-24,-1.1032
2006-11-27,-3.2152
2006-11-28,1.6949
2006-11-29,1.1333
2006-11-30,5.4713
2006-12-01,-0.5625
2006-12-04,-1.5713
2006-12-05,-0.2554
2006-12-06,-0.3841
2006-12-07,0.2571
2006-12-08,2.1154
2006-12-11,1.2555
2006-12-12,0.124
2006-12-13,-0.5573
2006-12-14,1.4944
2006-12-15,3.0061
2006-12-18,0.1787
2006-12-19,-2.9132
2006-12-20,3.1843
2006-12-21,2.73
2006-12-22,-1.502
2006-12-26,-0.9971
2006-12-27,0.7109
2006-12-28,0.0
2006-12-29,2.2941
2007-01-03,-0.6325
2007-01-04,-0.1736
2007-01-05,1.1014
2007-01-08,-0.6881
2007-01-09,-1.7898
2007-01-10,0.4115
2007-01-11,-2.2834
2007-01-12,2.5164999999999997
2007-01-16,0.8767
2007-01-17,0.5794
2007-01-18,0.1152
2007-01-19,-0.3452
2007-01-22,5.0231
2007-01-23,3.1886
2007-01-24,2.9835000000000003
2007-01-25,-1.2416
2007-01-26,-1.0477
2007-01-29,0.1588
2007-01-30,-0.7928
2007-01-31,-0.7991
2007-02-01,1.7723
2007-02-02,-0.2639
2007-02-05,2.8042
2007-02-06,1.4411
2007-02-07,1.2684
2007-02-08,2.1042
2007-02-09,1.5702
2007-02-12,-1.9324
2007-02-13,0.2956
2007-02-14,4.224
2007-02-15,1.885
2007-02-16,1.2951
2007-02-20,1.5981999999999998
2007-02-21,-2.2921
2007-02-22,-0.184
2007-02-23,-0.6452
2007-02-26,-0.9276
2007-02-27,-0.4682
2007-02-28,0.0
2007-03-01,-3.6689
2007-03-02,3.0762
2007-03-05,-0.5211
2007-03-06,1.0952
2007-03-07,-1.5072999999999999
2007-03-08,0.4304
2007-03-09,-0.4762
2007-03-12,1.0526
2007-03-13,0.8996
2007-03-14,3.7541
2007-03-15,-0.995
2007-03-16,0.6396
2007-03-19,-1.1348
2007-03-20,-0.0918
2007-03-21,3.2629
2007-03-22,1.7356
2007-03-23,-0.35
2007-03-26,0.0
2007-03-27,2.5022
2007-03-28,0.257
2007-03-29,-0.598
2007-03-30,1.8479
2007-04-02,-1.1814
2007-04-03,3.117
2007-04-04,-1.7805
2007-04-05,1.0961
2007-04-09,0.7923
2007-04-10,0.0827
2007-04-11,-1.4469
2007-04-12,-0.4614
