ticker,ARCT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-05-22,-5.625
2013-05-23,-4.5033
2013-05-24,0.5548
2013-05-28,-3.8621
2013-05-29,-1.7217
2013-05-30,4.6715
2013-05-31,0.4184
2013-06-03,-4.4444
2013-06-04,-0.5814
2013-06-05,4.2398
2013-06-06,-1.8233000000000001
2013-06-07,3.1429
2013-06-10,-2.6298
2013-06-11,-0.4285
2013-06-12,-2.1429
2013-06-13,1.1679
2013-06-14,2.4531
2013-06-17,-2.1127
2013-06-18,0.7194
2013-06-19,1.1429
2013-06-20,0.2825
2013-06-21,-2.6761
2013-06-24,-3.9074
2013-06-25,1.8072
2013-06-26,0.1479
2013-06-27,0.0
2013-06-28,1.1817
2013-07-01,1.1679
2013-07-02,0.2886
2013-07-03,-0.4299
2013-07-05,-1.1579
2013-07-08,15.4971
2013-07-09,5.443
2013-07-10,8.7635
2013-07-11,5.9603
2013-07-12,11.3542
2013-07-15,-4.116
2013-07-16,-2.3415
2013-07-17,-0.0999
2013-07-18,-1.1
2013-07-19,0.8089
2013-07-22,0.4012
2013-07-23,0.0
2013-07-24,1.8981
2013-07-25,0.0
2013-07-26,-0.4902
2013-07-29,-1.5764
2013-07-30,0.5005
2013-07-31,3.0876
2013-08-01,15.942
2013-08-02,16.6667
2013-08-05,4.3571
2013-08-06,-9.9932
2013-08-07,-1.2167
2013-08-08,10.3926
2013-08-09,0.5579
2013-08-12,0.4161
2013-08-13,-1.4503
2013-08-14,-0.0701
2013-08-15,-2.1038
2013-08-16,-1.361
2013-08-19,-0.0726
2013-08-20,-3.125
2013-08-21,3.6009
2013-08-22,-4.2722999999999995
2013-08-23,2.118
2013-08-26,-0.0741
2013-08-27,-4.4477
2013-08-28,0.931
2013-08-29,0.7686
2013-08-30,-1.6781000000000001
2013-09-03,-2.948
2013-09-04,-0.3197
2013-09-05,7.3577
2013-09-06,2.7824
2013-09-09,6.032
2013-09-10,2.536
2013-09-11,8.2219
2013-09-12,0.1235
2013-09-13,0.2468
2013-09-16,-1.4769
2013-09-17,-2.0612
2013-09-18,-0.1905
2013-09-19,0.1909
2013-09-20,1.5306
2013-09-23,-1.5074999999999998
2013-09-24,-3.8265000000000002
2013-09-25,5.3714
2013-09-26,6.3562
2013-09-27,10.7101
2013-09-30,-3.581
2013-10-01,0.388
2013-10-02,13.0867
2013-10-03,13.5742
2013-10-04,6.1049
2013-10-07,3.363
2013-10-08,-10.7409
2013-10-09,-9.1787
2013-10-10,7.5919
