ticker,VIZC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-05-28,54.5455
2013-05-29,-35.2941
2013-05-30,54.5455
2013-05-31,18.8235
2013-06-03,0.0
2013-06-04,-9.901
2013-06-05,0.0
2013-06-06,-1.0989
2013-06-10,0.0
2013-06-13,-11.1111
2013-06-14,-3.75
2013-06-17,10.3896
2013-06-19,-9.4118
2013-06-20,2.5974
2013-06-25,-24.0506
2013-06-26,-28.6667
2013-06-28,-18.2243
2013-07-01,0.0
2013-07-02,-28.5714
2013-07-03,0.0
2013-07-05,-36.0
2013-07-08,3.125
2013-07-09,3.0303
2013-07-10,-29.4118
2013-07-11,0.0
2013-07-12,-16.6667
2013-07-16,0.0
2013-07-17,50.0
2013-07-18,-13.3333
2013-07-19,0.0
2013-07-22,0.0
2013-07-23,-23.0769
2013-07-24,20.0
2013-07-26,0.0
2013-07-29,-16.6667
2013-07-31,0.0
2013-08-01,0.0
2013-08-02,-19.875
2013-08-05,0.0
2013-08-06,-0.156
2013-08-07,0.0
2013-08-09,-18.75
2013-08-12,-7.6923
2013-08-13,0.0
2013-08-14,16.6667
2013-08-15,0.0
2013-08-16,0.0
2013-08-19,0.0
2013-08-20,-28.5714
2013-08-21,-20.0
2013-08-22,0.3125
2013-08-23,4.6729
2013-08-26,42.8571
2013-08-28,0.0
2013-08-30,0.0
2013-09-03,-16.6667
2013-09-09,0.0
2013-09-10,0.0
2013-09-12,9.75
2013-09-13,-27.1071
2013-09-16,37.5
2013-09-17,-27.2727
2013-09-18,35.0
2013-09-20,1.8519
2013-09-23,0.0
2013-09-25,481.8182
2013-09-26,-63.4375
2013-09-27,-18.8034
2013-09-30,-35.9868
2013-10-01,7.1942
2013-10-04,3.3557
2013-10-07,-1.4842
2013-10-09,-9.7928
2013-10-14,-16.4927
2013-10-17,27.0
2013-10-21,-13.3858
2013-10-28,9.0909
2013-10-30,-33.3333
2013-10-31,0.0
2013-11-01,15.0
2013-11-04,8.6957
2013-11-08,0.0
2013-11-12,-30.0
2013-11-13,-17.1429
2013-11-14,0.0
2013-11-15,20.6897
2013-11-18,14.2857
2013-11-19,-12.5
2013-11-20,0.0
2013-11-21,-22.8571
2013-11-22,-17.8241
2013-11-27,12.6761
2013-12-02,12.0
2013-12-03,-10.7143
2013-12-05,-16.0
2013-12-06,33.3333
2013-12-09,-28.5714
2013-12-10,0.0
2013-12-12,0.0
2013-12-13,10.0
2013-12-16,0.0
2013-12-18,-31.8182
2013-12-23,0.0
2013-12-24,0.0
