ticker,KIRK US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2002-07-11,-1.0
2002-07-12,0.1347
2002-07-15,-1.8090000000000002
2002-07-16,1.3629
2002-07-17,-0.6757
2002-07-18,-1.1565
2002-07-19,-10.5299
2002-07-22,-6.1538
2002-07-23,-17.2049
2002-07-24,8.8011
2002-07-25,-6.0055
2002-07-26,-3.1849
2002-07-29,7.4993
2002-07-30,2.7811
2002-07-31,-3.3484
2002-08-01,-1.4139
2002-08-02,-5.0147
2002-08-05,-4.1996
2002-08-06,-0.3236
2002-08-07,0.9424
2002-08-08,8.9212
2002-08-09,2.6667
2002-08-12,14.1002
2002-08-13,8.1301
2002-08-14,3.6842
2002-08-15,2.7121
2002-08-16,-0.9461
2002-08-19,4.7755
2002-08-20,2.585
2002-08-21,2.122
2002-08-22,-0.6494
2002-08-23,0.4575
2002-08-26,-2.4073
2002-08-27,-0.3333
2002-08-28,-1.0702
2002-08-29,-1.2847
2002-08-30,-0.6849
2002-09-03,-7.3103
2002-09-04,-0.2976
2002-09-05,0.0746
2002-09-06,5.8911
2002-09-09,2.4718
2002-09-10,3.4293
2002-09-11,0.0
2002-09-12,-0.4585
2002-09-13,0.4606
2002-09-16,-0.3322
2002-09-17,0.0
2002-09-18,0.0733
2002-09-19,-0.7395
2002-09-20,0.8725
2002-09-23,0.1331
2002-09-24,6.5116
2002-09-25,-0.4991
2002-09-26,1.0658
2002-09-27,6.5136
2002-09-30,-0.4077
2002-10-01,-4.9708
2002-10-02,-5.2308
2002-10-03,0.6494
2002-10-04,0.0
2002-10-07,-2.2580999999999998
2002-10-08,-0.33
2002-10-09,0.1987
2002-10-10,2.7759
2002-10-11,-0.3215
2002-10-14,1.2141
2002-10-15,2.625
2002-10-16,0.0
2002-10-17,2.4845
2002-10-18,-0.6061
2002-10-21,2.439
2002-10-22,0.8333
2002-10-23,-1.1216
2002-10-24,-1.1403
2002-10-25,-1.0266
2002-10-28,3.7281
2002-10-29,-1.0
2002-10-30,3.981
2002-10-31,-0.2857
2002-11-01,0.0573
2002-11-04,5.9565
2002-11-05,1.6216
2002-11-06,-2.3936
2002-11-07,-5.5041
2002-11-08,-5.7093
2002-11-11,-4.526
2002-11-12,3.6515
2002-11-13,-0.8035
2002-11-14,8.5981
2002-11-15,2.2375
2002-11-18,-4.6016
2002-11-19,-5.6471
2002-11-20,1.2469000000000001
2002-11-21,11.4532
2002-11-22,-2.7624
2002-11-25,-0.5682
2002-11-26,-2.8571
2002-11-27,-2.2353
