ticker,TARO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,0.0
2000-01-04,-9.4828
2000-01-05,-7.619
2000-01-06,-4.6392
2000-01-07,14.0541
2000-01-10,-1.4218
2000-01-11,-0.4808
2000-01-12,-3.3816
2000-01-13,2.5
2000-01-14,2.439
2000-01-18,5.7143
2000-01-19,1.8018
2000-01-20,-3.9823
2000-01-21,1.6129
2000-01-24,8.8435
2000-01-25,-4.1667
2000-01-26,12.1739
2000-01-27,-0.7752
2000-01-28,-1.3672
2000-01-31,-7.7228
2000-02-01,4.721
2000-02-02,0.0
2000-02-03,-0.8197
2000-02-04,0.0
2000-02-07,0.0
2000-02-08,-0.4132
2000-02-09,-8.7137
2000-02-10,1.8182
2000-02-11,-5.3571
2000-02-14,-1.8868
2000-02-15,-0.9615
2000-02-16,-1.9417
2000-02-17,2.9703
2000-02-18,0.4808
2000-02-22,3.3493
2000-02-23,6.4815
2000-02-24,-17.3913
2000-02-25,-15.7895
2000-02-28,5.625
2000-02-29,8.8757
2000-03-01,2.1739
2000-03-02,7.4468
2000-03-03,0.495
2000-03-06,10.3448
2000-03-07,-4.4643
2000-03-08,0.9346
2000-03-09,0.0
2000-03-10,-7.4074
2000-03-13,-4.5
2000-03-14,0.5236
2000-03-15,-3.6458
2000-03-16,11.3514
2000-03-17,0.9709
2000-03-20,-4.8077
2000-03-21,-4.0404
2000-03-22,4.2105
2000-03-23,-3.5354
2000-03-24,-0.5236
2000-03-27,-1.0526
2000-03-28,-5.8511
2000-03-29,-0.565
2000-03-30,-4.5455
2000-03-31,2.3810000000000002
2000-04-03,-6.3953
2000-04-04,-1.2422
2000-04-05,4.4025
2000-04-06,0.0
2000-04-07,6.6265
2000-04-10,-3.3898
2000-04-11,-5.848
2000-04-12,1.2422
2000-04-13,-6.135
2000-04-14,-9.1503
2000-04-17,0.7194
2000-04-18,12.857099999999999
2000-04-19,3.1646
2000-04-20,-1.227
2000-04-24,-3.1056
2000-04-25,1.9231
2000-04-26,-1.2579
2000-04-27,1.9108
2000-04-28,11.25
2000-05-01,4.4944
2000-05-02,-8.0645
2000-05-03,1.7544
2000-05-04,-5.7471
2000-05-05,0.0
2000-05-08,-0.6098
2000-05-09,-6.135
2000-05-10,-1.9607999999999999
2000-05-11,1.3333
2000-05-12,5.2632
2000-05-15,-2.5
2000-05-16,-1.2821
2000-05-17,3.2468
2000-05-18,1.2579
2000-05-19,-2.1739
2000-05-22,-3.4920999999999998
2000-05-23,0.6579
