ticker,GLPI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-10-15,0.0
2013-10-16,0.1699
2013-10-17,4.7492
2013-10-18,2.4751
2013-10-21,-0.2257
2013-10-22,0.7919
2013-10-23,-1.9978
2013-10-24,0.4123
2013-10-25,1.323
2013-10-28,-0.0675
2013-10-29,0.2929
2013-10-30,-0.3594
2013-10-31,1.4426999999999999
2013-11-01,1.4222000000000001
2013-11-04,2.5416
2013-11-05,-0.5983
2013-11-06,0.8169
2013-11-07,-2.3241
2013-11-08,-0.6985
2013-11-11,0.7035
2013-11-12,-0.8513
2013-11-13,-1.1449
2013-11-14,0.1114
2013-11-15,0.5562
2013-11-18,-0.2876
2013-11-19,-1.2203
2013-11-20,0.1797
2013-11-21,0.1345
2013-11-22,3.2691
2013-11-25,-0.3903
2013-11-26,0.7836
2013-11-27,0.8207
2013-11-29,-1.1997
2013-12-02,1.9948000000000001
2013-12-03,-1.4456
2013-12-04,0.151
2013-12-05,0.1292
2013-12-06,1.6562999999999999
2013-12-09,5.2476
2013-12-10,0.6031
2013-12-11,1.5588
2013-12-12,-1.2987
2013-12-13,-0.1994
2013-12-16,0.5793
2013-12-17,-1.4499
2013-12-18,-0.3829
2013-12-19,-0.3237
2013-12-20,1.1163
2013-12-23,0.1807
2013-12-24,0.8616
2013-12-26,-0.1986
2013-12-27,-1.0151
2013-12-30,1.5081
2013-12-31,0.6537
2014-01-02,-0.7479
2014-01-03,-0.3371
2014-01-06,-2.0891
2014-01-07,-0.3861
2014-01-08,-0.6528
2014-01-09,3.3893
2014-01-10,0.2914
2014-01-13,-1.6376
2014-01-14,-0.0269
2014-01-15,-0.4298
2014-01-16,-1.5107
2014-01-17,-0.5478
2014-01-21,0.0275
2014-01-22,-1.4317
2014-01-23,-0.9777
2014-01-24,-2.0592
2014-01-27,-0.9793
2014-01-28,1.4252
2014-01-29,-1.9214
2014-01-30,1.1696
2014-01-31,0.289
2014-02-03,-2.0749
2014-02-04,1.4715
2014-02-05,0.116
2014-02-06,4.2005
2014-02-07,2.0017
2014-02-10,1.063
2014-02-11,1.1327
2014-02-12,0.88
2014-02-13,2.6698
2014-02-14,-1.2616
2014-02-18,0.2347
2014-02-19,-0.5203
2014-02-20,1.0983
2014-02-21,-1.1123
2014-02-24,-1.2032
2014-02-25,0.6089
2014-02-26,-1.4211
2014-02-27,1.1479
2014-02-28,0.5015
2014-03-03,-0.3676
2014-03-04,2.1349
2014-03-05,0.0258
2014-03-06,0.7584
