ticker,SGH US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-05-24,22.2727
2017-05-25,0.3717
2017-05-26,-2.0
2017-05-30,-1.8896
2017-05-31,0.9245
2017-06-01,2.6718
2017-06-02,4.7584
2017-06-05,13.5557
2017-06-06,-1.875
2017-06-07,1.5287
2017-06-08,0.2509
2017-06-09,-1.5019
2017-06-12,-10.737
2017-06-13,3.3452
2017-06-14,3.5813
2017-06-15,0.7314
2017-06-16,0.9901
2017-06-19,0.0
2017-06-20,-0.1307
2017-06-21,3.0759
2017-06-22,2.8571
2017-06-23,6.2346
2017-06-26,-2.2661
2017-06-27,-2.2592
2017-06-28,0.0608
2017-06-29,-0.9726
2017-06-30,-0.6139
2017-07-03,-2.9648
2017-07-05,2.4188
2017-07-06,-0.4351
2017-07-07,-0.1873
2017-07-10,-1.4384000000000001
2017-07-11,-2.5381
2017-07-12,0.2604
2017-07-13,0.6494
2017-07-14,0.8387
2017-07-17,7.4856
2017-07-18,1.9048
2017-07-19,-1.7523
2017-07-20,-3.3294
2017-07-21,-0.861
2017-07-24,-1.6129
2017-07-25,2.3329
2017-07-26,17.0672
2017-07-27,-5.2632
2017-07-28,2.2222
2017-07-31,-1.6848
2017-08-01,1.7137
2017-08-02,-0.7065
2017-08-03,2.8462
2017-08-04,-0.2129
2017-08-07,-2.6667
2017-08-08,-0.8219
2017-08-09,1.768
2017-08-10,-1.7372
2017-08-11,1.2707
2017-08-14,1.5276
2017-08-15,3.1703
2017-08-16,0.9896
2017-08-17,-7.1686
2017-08-18,2.3056
2017-08-21,-1.0046
2017-08-22,0.9325
2017-08-23,0.9783
2017-08-24,-0.5382
2017-08-25,-0.4329
2017-08-28,-0.1087
2017-08-29,0.4897
2017-08-30,-0.0541
2017-08-31,7.6381
2017-09-01,5.083
2017-09-05,-0.8621
2017-09-06,7.1981
2017-09-07,2.2983000000000002
2017-09-08,-1.1013
2017-09-11,1.8708
2017-09-12,2.7547
2017-09-13,0.0
2017-09-14,-2.3404
2017-09-15,-6.0566
2017-09-18,0.8813
2017-09-19,1.1034
2017-09-20,0.091
2017-09-21,-0.7724
2017-09-22,0.7784
2017-09-25,-1.3176
2017-09-26,-4.0055
2017-09-27,2.8777
2017-09-28,4.8951
2017-09-29,19.0222
2017-10-02,4.817
2017-10-03,6.3413
2017-10-04,2.5126
2017-10-05,3.7908
2017-10-06,3.306
2017-10-09,0.5791
2017-10-10,0.3333
2017-10-11,11.5373
2017-10-12,-5.8218
2017-10-13,-3.1052
