ticker,MTST US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-02-25,-25.0
2008-02-27,6.6667
2008-03-03,-6.25
2008-03-19,0.0
2008-03-26,6.6667
2008-03-27,6.25
2008-03-31,5.8824
2008-04-08,38.8889
2008-04-10,0.0
2008-04-11,-38.0
2008-04-14,61.2903
2008-04-22,-22.0
2008-04-28,-48.2051
2008-04-29,48.5149
2008-04-30,16.6667
2008-05-15,0.0
2008-06-03,-5.7143
2008-06-09,21.2121
2008-06-10,0.0
2008-06-20,-74.5
2008-06-23,194.1176
2008-06-25,0.0
2008-07-07,0.0
2008-07-08,-3.3333
2008-07-11,-29.6552
2008-07-18,43.1373
2008-07-22,-24.6575
2008-08-06,0.0
2008-08-11,0.0
2008-08-20,27.2727
2008-08-21,-6.4286
2008-08-22,0.0
2008-09-12,-3.8167999999999997
2008-09-16,-0.7937
2008-09-18,-1.6
2008-09-22,-2.439
2008-09-30,-75.0
2008-10-02,266.6667
2008-10-07,0.0
2008-10-17,0.0
2008-10-24,0.0
2008-11-04,-68.1818
2008-11-11,0.0
2008-11-26,285.7143
2008-11-28,0.0
2008-12-03,-77.7778
2009-01-02,236.6667
2009-01-05,23.7624
2009-01-12,-4.0
2009-01-13,-57.5
2009-01-14,0.0
2009-01-16,-31.3725
2009-01-20,-14.2857
2009-01-26,70.0
2009-01-27,-31.3725
2009-02-02,-28.5714
2009-02-05,0.0
2009-02-06,40.0
2009-02-09,-57.1429
2009-02-24,6.6667
2009-02-25,56.25
2009-06-16,80.0
2009-06-17,-44.4444
2009-07-13,40.0
2009-07-14,0.0
2009-07-27,0.0
2009-08-12,0.0
2009-08-27,-54.2857
2009-09-08,181.25
2009-09-09,0.0
2009-09-16,0.0
2009-09-24,0.0
2009-10-12,-64.4444
2009-11-18,25.0
2009-11-20,-20.0
2009-11-23,-37.5
2009-12-28,0.0
2010-02-10,0.0
2010-02-16,100.0
2010-02-24,25.0
2010-03-18,0.0
2010-03-23,-40.0
2010-04-01,33.3333
2010-05-28,-20.0
2010-07-19,-6.25
2010-07-28,0.0
2010-08-24,-33.3333
2010-08-25,-79.5
2010-09-24,95.122
2010-10-05,150.0
2010-10-12,0.0
2010-10-19,200.0
2010-10-20,-66.6667
2010-11-01,150.0
2010-11-02,0.0
2010-11-03,-4.0
2010-12-14,-37.5
2011-01-19,0.0
2012-02-28,0.0
2012-02-29,33.3333
2012-03-08,5.0
2012-03-27,7.1429
2012-03-29,33.3333
2012-04-18,25.0
2012-04-20,0.0
