ticker,SDTTU US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-04-07,15.2857
2011-04-08,7.3126
2011-04-11,-1.3486
2011-04-12,-2.6531000000000002
2011-04-13,-0.7214
2011-04-14,-1.2919
2011-04-15,2.0859
2011-04-18,-1.4423
2011-04-19,1.2195
2011-04-20,0.6426
2011-04-21,3.352
2011-04-25,0.3475
2011-04-26,-2.2701000000000002
2011-04-27,1.2992
2011-04-28,0.6607
2011-04-29,0.3475
2011-05-02,-0.9619
2011-05-03,-1.8648
2011-05-04,-0.9105
2011-05-05,-3.1163
2011-05-06,3.5052
2011-05-09,2.3904
2011-05-10,-2.8405
2011-05-11,-0.841
2011-05-12,0.6462
2011-05-13,2.8491
2011-05-16,2.7702
2011-05-17,-3.9104
2011-05-18,2.6471999999999998
2011-05-19,0.3079
2011-05-20,1.3047
2011-05-23,-2.1212
2011-05-24,1.3932
2011-05-25,0.0382
2011-05-26,0.9157
2011-05-27,1.7013
2011-05-31,0.1859
2011-06-01,-1.8553
2011-06-02,0.0
2011-06-03,0.6049
2011-06-06,-2.8561
2011-06-07,-1.0832
2011-06-08,-0.352
2011-06-09,0.2355
2011-06-10,0.1958
2011-06-13,-1.1333
2011-06-14,0.5929
2011-06-15,-0.275
2011-06-16,-0.0788
2011-06-17,-0.9464
2011-06-20,0.9554
2011-06-21,1.3801
2011-06-22,-0.6223
2011-06-23,-0.4697
2011-06-24,-1.455
2011-06-27,4.3895
2011-06-28,-0.6881
2011-06-29,2.0015
2011-06-30,-0.1887
2011-07-01,-0.189
2011-07-05,0.0379
2011-07-06,0.3029
2011-07-07,0.0378
2011-07-08,-0.1887
2011-07-11,0.2268
2011-07-12,0.2641
2011-07-13,0.4891
2011-07-14,0.8611
2011-07-15,0.9985
2011-07-18,-0.6946
2011-07-19,2.2946
2011-07-20,0.0362
2011-07-21,0.434
2011-07-22,3.601
2011-07-25,0.3476
2011-07-26,-0.5888
2011-07-27,-3.2056
2011-07-28,1.1519
2011-07-29,1.6726
2011-08-01,0.56
2011-08-02,-4.6989
2011-08-03,1.3514
2011-08-04,-3.9279
2011-08-05,0.5251
2011-08-08,-7.1164
2011-08-09,4.0461
2011-08-10,0.8108
2011-08-11,-2.1507
2011-08-12,1.7157
2011-08-15,1.8072
2011-08-16,-2.643
2011-08-17,1.7423
2011-08-18,-2.3497
2011-08-19,-1.3051
2011-08-22,-0.5785
2011-08-23,1.33
2011-08-24,-0.9844
2011-08-25,-0.6214
2011-08-26,1.1672
