ticker,CVNA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-04-28,-26.0
2017-05-01,-2.973
2017-05-02,-6.221
2017-05-03,-13.6634
2017-05-04,14.4495
2017-05-05,9.4188
2017-05-08,-1.0989
2017-05-09,-2.3148
2017-05-10,1.8009
2017-05-11,2.4209
2017-05-12,3.1818
2017-05-15,1.4978
2017-05-16,2.0833
2017-05-17,-0.8503
2017-05-18,-1.2006999999999999
2017-05-19,-1.0417
2017-05-22,-2.807
2017-05-23,-2.4368
2017-05-24,0.9251
2017-05-25,-2.3830999999999998
2017-05-26,0.7512
2017-05-30,-5.1258
2017-05-31,-1.2770000000000001
2017-06-01,-7.1642
2017-06-02,2.1436
2017-06-05,-5.5614
2017-06-06,5.8889
2017-06-07,32.8437
2017-06-08,4.2654
2017-06-09,0.7576
2017-06-12,5.2632
2017-06-13,7.9286
2017-06-14,10.5228
2017-06-15,5.8683
2017-06-16,9.2195
2017-06-19,1.1911
2017-06-20,-3.2242
2017-06-21,3.2787
2017-06-22,8.2437
2017-06-23,1.3718
2017-06-26,9.1461
2017-06-27,-5.2159
2017-06-28,-6.811
2017-06-29,-0.2904
2017-06-30,-0.6311
2017-07-03,-6.1553
2017-07-05,10.2551
2017-07-06,-4.7214
2017-07-07,4.0634
2017-07-10,4.7143
2017-07-11,-1.9554
2017-07-12,3.8961
2017-07-13,2.5893
2017-07-14,-0.2176
2017-07-17,-4.928
2017-07-18,-1.2385
2017-07-19,3.3906
2017-07-20,-2.965
2017-07-21,-0.9259
2017-07-24,1.028
2017-07-25,-3.469
2017-07-26,2.3
2017-07-27,-1.6862
2017-07-28,-2.7632
2017-07-31,-4.3606
2017-08-01,-4.1496
2017-08-02,1.8707
2017-08-03,-8.6569
2017-08-04,3.5037000000000003
2017-08-07,3.0522
2017-08-08,3.5541
2017-08-09,-5.9282
2017-08-10,-4.8646
2017-08-11,-5.1133
2017-08-14,-5.8788
2017-08-15,-3.7736
2017-08-16,2.4341
2017-08-17,0.198
2017-08-18,-6.39
2017-08-21,2.8853
2017-08-22,6.0876
2017-08-23,2.7724
2017-08-24,-0.1255
2017-08-25,-6.7839
2017-08-28,4.4474
2017-08-29,1.5484
2017-08-30,11.3723
2017-08-31,1.8254000000000001
2017-09-01,-2.8571
2017-09-05,-3.4602
2017-09-06,6.7503
2017-09-07,4.9245
2017-09-08,-1.8667
2017-09-11,0.163
2017-09-12,0.4883
2017-09-13,-2.5378
2017-09-14,0.4986
2017-09-15,-2.6461
