ticker,STND US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-10-08,-0.084
2010-10-11,0.0841
2010-10-12,-0.4202
2010-10-13,0.0
2010-10-14,0.3376
2010-10-15,0.5036
2010-10-18,1.6747
2010-10-19,0.3292
2010-10-20,0.4922
2010-10-21,-0.5714
2010-10-22,1.3957
2010-10-25,-0.8097
2010-10-26,-0.4898
2010-10-27,0.1641
2010-10-28,1.8837000000000002
2010-10-29,-0.001
2010-11-01,1.2872
2010-11-02,0.0794
2010-11-03,0.7137
2010-11-04,1.6535
2010-11-05,0.3098
2010-11-08,2.7027
2010-11-09,1.5038
2010-11-10,1.4815
2010-11-11,0.0
2010-11-12,0.219
2010-11-15,0.0
2010-11-16,0.874
2010-11-17,-0.361
2010-11-18,-0.3623
2010-11-19,-3.1273
2010-11-22,1.7267000000000001
2010-11-23,0.0738
2010-11-24,0.0
2010-11-29,0.2212
2010-11-30,0.4415
2010-12-01,0.2198
2010-12-02,0.0
2010-12-03,-0.3655
2010-12-06,0.0734
2010-12-07,-0.2933
2010-12-08,-0.6985
2010-12-09,-0.9996
2010-12-10,1.0471
2010-12-13,-0.8882
2010-12-14,-0.5975
2010-12-15,-0.0751
2010-12-16,-1.2542
2010-12-17,-1.0141
2010-12-20,-0.6154
2010-12-21,2.5542
2010-12-22,1.1320999999999999
2010-12-23,1.4925
2010-12-27,1.1029
2010-12-28,0.3636
2010-12-29,1.0136
2010-12-31,-0.6447
2011-01-03,0.361
2011-01-04,0.0
2011-01-05,2.518
2011-01-06,-1.0535
2011-01-07,0.0009
2011-01-10,0.3537
2011-01-11,-0.8472
2011-01-12,0.6771
2011-01-14,-1.2389000000000001
2011-01-18,-1.0036
2011-01-19,2.824
2011-01-20,-1.7606000000000002
2011-01-21,1.7921
2011-01-24,0.1408
2011-01-25,-1.4064999999999999
2011-01-26,1.7118
2011-01-28,-0.9116
2011-01-31,0.5662
2011-02-02,-0.3519
2011-02-03,-0.7768
2011-02-04,1.21
2011-02-07,-1.1955
2011-02-08,3.2028
2011-02-10,1.0345
2011-02-11,-0.5461
2011-02-14,1.5786
2011-02-15,0.6757
2011-02-16,0.0
2011-02-18,-0.5369
2011-02-22,-0.6748
2011-02-23,-0.1359
2011-02-25,-0.2041
2011-02-28,-0.2727
2011-03-01,-0.0684
2011-03-02,0.0
2011-03-03,0.0
2011-03-04,1.3214000000000001
2011-03-07,-1.1016
2011-03-08,0.7509
2011-03-09,0.542
2011-03-10,-0.2695
2011-03-11,0.0676
