ticker,AMBO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-08-05,-7.5
2010-08-06,-8.6486
2010-08-09,-8.284
2010-08-10,7.7419
2010-08-11,1.6766
2010-08-12,-0.4711
2010-08-13,-0.5917
2010-08-16,6.1905
2010-08-17,3.1390000000000002
2010-08-18,0.8696
2010-08-19,-0.2155
2010-08-20,-3.4557
2010-08-23,0.6711
2010-08-24,-3.4458
2010-08-25,0.6919
2010-08-26,0.9143
2010-08-27,1.812
2010-08-30,1.3293
2010-08-31,-0.1043
2010-09-01,0.3297
2010-09-02,1.862
2010-09-03,1.0739
2010-09-07,3.7248
2010-09-08,-1.9487
2010-09-09,3.5564999999999998
2010-09-10,-1.0101
2010-09-13,2.0408
2010-09-14,-0.5
2010-09-15,-1.005
2010-09-16,0.5076
2010-09-17,0.6061
2010-09-20,-0.8032
2010-09-21,0.3087
2010-09-22,0.3973
2010-09-23,0.0013
2010-09-24,-2.5126
2010-09-27,2.9897
2010-09-28,-0.9009
2010-09-29,-0.404
2010-09-30,1.0142
2010-10-01,0.1004
2010-10-04,1.1033
2010-10-05,3.2738
2010-10-06,0.1921
2010-10-07,0.767
2010-10-08,0.9515
2010-10-11,0.2828
2010-10-12,1.1278
2010-10-13,1.3011
2010-10-14,3.211
2010-10-15,4.3556
2010-10-18,-2.0443
2010-10-19,0.0
2010-10-20,1.5652
2010-10-21,-0.2568
2010-10-22,1.2876
2010-10-25,-0.2542
2010-10-26,0.1699
2010-10-27,-0.3393
2010-10-28,0.0
2010-10-29,2.2128
2010-11-01,-1.5819999999999999
2010-11-02,2.7919
2010-11-03,1.893
2010-11-04,4.7658000000000005
2010-11-05,6.5536
2010-11-08,0.4342
2010-11-09,-1.1527
2010-11-10,-0.3644
2010-11-11,-0.8778
2010-11-12,-5.5351
2010-11-15,0.7031
2010-11-16,-0.931
2010-11-17,-2.036
2010-11-18,-5.5156
2010-11-19,-2.5381
2010-11-22,0.6076
2010-11-23,2.2433
2010-11-24,2.7004
2010-11-26,1.0682
2010-11-29,-2.439
2010-11-30,0.75
2010-12-01,-0.579
2010-12-02,-1.1647
2010-12-03,3.5354
2010-12-06,1.7886
2010-12-07,-0.1587
2010-12-08,-1.441
2010-12-09,1.3799000000000001
2010-12-10,2.3229
2010-12-13,-1.3312
2010-12-14,-3.1642
2010-12-15,0.4832
2010-12-16,-1.1002
2010-12-17,-1.2783
2010-12-20,1.0027
2010-12-21,-1.157
2010-12-22,-0.7525
2010-12-23,1.0952
