ticker,WIFI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-05-04,-10.3704
2011-05-05,0.6612
2011-05-06,-0.6568
2011-05-09,-0.8264
2011-05-10,-1.9583
2011-05-11,0.4675
2011-05-12,-1.1844000000000001
2011-05-13,-7.9623
2011-05-16,-12.7442
2011-05-17,-5.3305
2011-05-18,5.0676
2011-05-19,6.6452
2011-05-20,-2.4121
2011-05-23,-2.1627
2011-05-24,3.4737
2011-05-25,-1.6277
2011-05-26,-0.2068
2011-05-27,-1.2435
2011-05-31,-1.8888
2011-06-01,3.9572000000000003
2011-06-02,2.4691
2011-06-03,2.1084
2011-06-06,-5.6047
2011-06-07,-7.6042
2011-06-08,-16.46
2011-06-09,3.5088
2011-06-10,-0.2608
2011-06-13,32.1569
2011-06-14,-4.55
2011-06-15,-1.4508
2011-06-16,0.7361
2011-06-17,-6.9937000000000005
2011-06-20,-6.0606
2011-06-21,-2.0311
2011-06-22,7.0732
2011-06-23,3.9863
2011-06-24,-1.4239
2011-06-27,1.3333
2011-06-28,-0.6579
2011-06-29,2.2075
2011-06-30,-1.9438
2011-07-01,-1.1013
2011-07-05,1.4477
2011-07-06,2.7442
2011-07-07,-0.9615
2011-07-08,4.315
2011-07-11,-1.241
2011-07-12,-4.712
2011-07-13,3.6264
2011-07-14,-6.6808
2011-07-15,0.5682
2011-07-18,1.2429000000000001
2011-07-19,1.3393
2011-07-20,-1.5419
2011-07-21,0.3356
2011-07-22,-0.7804
2011-07-25,-7.7528
2011-07-26,7.6736
2011-07-27,-0.4525
2011-07-28,1.5909
2011-07-29,-1.9016
2011-08-01,4.1049
2011-08-02,-1.3143
2011-08-03,4.9945
2011-08-04,-4.9683
2011-08-05,-5.4505
2011-08-08,-10.5882
2011-08-09,6.8421
2011-08-10,-1.4778
2011-08-11,3.0
2011-08-12,7.6456
2011-08-15,1.6911
2011-08-16,-2.439
2011-08-17,1.8182
2011-08-18,-6.3616
2011-08-19,-5.006
2011-08-22,0.7528
2011-08-23,4.6077
2011-08-24,3.0952
2011-08-25,-4.6189
2011-08-26,1.937
2011-08-29,3.6817
2011-08-30,0.3436
2011-08-31,-0.1142
2011-09-01,-0.3429
2011-09-02,-3.6696999999999997
2011-09-06,-1.4285999999999999
2011-09-07,2.4154999999999998
2011-09-08,-3.3019
2011-09-09,-0.8537
2011-09-12,-0.369
2011-09-13,3.7037
2011-09-14,0.5952
2011-09-15,0.5917
2011-09-16,-0.5882
2011-09-19,-2.4852
2011-09-20,-1.0922
