ticker,DOGZ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-12-20,20.0
2017-12-21,-5.0
2017-12-22,2.6316
2017-12-26,-2.2222
2017-12-27,0.8741
2017-12-28,1.9064
2017-12-29,0.3401
2018-01-02,-4.7458
2018-01-03,1.6014
2018-01-04,-5.9019
2018-01-05,-10.4783
2018-01-08,-5.1975
2018-01-09,5.0439
2018-01-10,1.4509
2018-01-11,1.0392
2018-01-12,-3.2587
2018-01-16,-5.0526
2018-01-17,3.2239
2018-01-18,-1.19
2018-01-19,1.7391
2018-01-22,-2.1368
2018-01-23,-1.0917
2018-01-24,-2.649
2018-01-25,0.0
2018-01-26,0.0
2018-01-29,0.2268
2018-01-30,0.0
2018-01-31,-0.6787
2018-02-01,-4.328
2018-02-02,-4.5238
2018-02-05,-1.9152
2018-02-06,-3.3866
2018-02-07,-1.3158
2018-02-08,0.2667
2018-02-09,-1.5957
2018-02-12,2.1622
2018-02-13,0.7937
2018-02-14,6.8241
2018-02-15,17.43
2018-02-16,-0.0858
2018-02-20,0.5172
2018-02-21,-1.0437
2018-02-22,-6.3117
2018-02-23,4.492
2018-02-26,-1.5053999999999998
2018-02-27,-9.607
2018-02-28,-1.9300000000000002
2018-03-01,9.6032
2018-03-02,-0.8989
2018-03-05,-0.2268
2018-03-06,-6.3295
2018-03-07,6.7548
2018-03-09,0.6841
2018-03-12,-5.6433
2018-03-13,1.6745999999999999
2018-03-14,0.0
2018-03-15,4.9412
2018-03-16,-2.9148
2018-03-19,-2.0785
2018-03-20,-16.25
2018-03-21,6.4489
2018-03-22,1.0582
2018-03-23,1.9607
2018-03-26,-2.0514
2018-03-27,3.6042
2018-03-28,-0.4858
2018-03-29,3.4755
2018-04-02,-3.6855
2018-04-03,-2.5102
2018-04-04,3.3598
2018-04-05,0.0
2018-04-09,-4.3038
2018-04-11,-0.0026
2018-04-13,11.458
2018-04-16,-0.3086
2018-04-17,-7.6213999999999995
2018-04-18,0.5206
2018-04-19,-2.5666
2018-04-20,9.1842
2018-04-23,-1.422
2018-04-24,-8.0685
2018-04-25,6.383
2018-04-26,-2.475
2018-04-27,-2.0764
2018-04-30,-0.5236
2018-05-01,-0.7895
2018-05-02,3.3236
2018-05-04,-7.8377
2018-05-07,5.8496
2018-05-08,-0.5263
2018-05-09,0.7937
2018-05-10,-2.3622
2018-05-11,4.7903
2018-05-16,-5.5795
2018-05-17,-0.0217
2018-05-18,2.9919000000000002
2018-05-21,-0.2216
2018-05-22,5.7753
