ticker,BGNX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2002-10-30,-99.5
2003-12-29,19900.0
2004-01-22,0.0
2004-01-26,-7.5
2004-02-19,8.1081
2004-03-15,18.75
2004-04-26,-5.2632
2005-09-01,-93.3333
2005-11-11,66.6667
2005-11-16,0.0
2006-03-17,-20.0
2007-01-03,0.0
2007-02-08,60.0
2007-02-09,0.0
2007-02-12,25.0
2007-03-13,-15.0
2007-03-15,26.4706
2007-03-16,16.2791
2007-03-19,100.0
2007-03-20,250.0
2007-03-21,42.8571
2007-03-22,20.0
2007-03-23,0.0
2007-03-26,-83.3333
2007-03-27,400.0
2007-03-28,-40.0
2007-03-29,0.0
2007-03-30,0.0
2007-04-02,0.0
2007-04-03,0.0
2007-04-04,0.0
2007-04-05,-66.6667
2007-04-09,200.0
2007-04-10,0.0
2007-04-12,-33.3333
2007-04-13,0.0
2007-04-16,0.0
2007-04-17,0.0
2007-04-18,-55.0
2007-04-19,233.3333
2007-04-23,0.0
2007-04-25,-33.3333
2007-04-30,0.0
2007-05-01,0.0
2007-05-03,0.0
2007-05-07,-50.0
2007-05-11,0.0
2007-05-15,-90.0
2007-05-16,1900.0
2007-05-17,0.0
2007-05-18,0.0
2007-05-21,0.0
2007-05-22,10.0
2007-05-25,-9.0909
2007-05-29,0.0
2007-06-01,0.0
2007-06-05,0.0
2007-06-07,0.0
2007-06-12,0.0
2007-06-13,0.0
2007-06-29,0.0
2007-07-02,0.0
2007-07-13,-50.0
2007-07-17,0.0
2007-07-18,100.0
2007-07-20,-75.0
2007-07-24,-20.0
2007-07-26,150.0
2007-07-30,0.0
2007-08-03,100.0
2007-08-15,0.0
2007-08-23,0.0
2007-08-27,-50.0
2007-08-31,0.0
2007-09-05,10.0
2007-09-07,0.0
2007-09-14,0.0
2007-09-17,172.7273
2007-09-18,33.3333
2007-09-20,-75.0
2007-09-21,0.0
2007-09-24,100.0
2007-09-25,-50.0
2007-09-26,100.0
2007-10-02,-5.0
2007-10-05,5.2632
2007-10-09,5.0
2007-10-10,-4.7619
2007-10-11,0.0
2007-10-12,100.0
2007-10-15,-50.0
2007-10-16,-50.0
2007-10-17,0.0
2007-10-26,0.0
2007-10-29,100.0
2007-10-31,0.0
2007-11-01,0.0
2007-11-02,-99.375
2007-11-05,23900.0
2007-11-06,-33.3333
2007-11-07,50.0
2007-11-12,-33.3333
2007-11-13,-25.0
2007-11-26,0.0
2007-11-27,-33.3333
2007-12-03,-50.0
2007-12-10,100.0
