ticker,RSRV US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-14,-2.7027
2000-05-26,0.0
2000-06-22,-5.5556
2000-12-01,1.4706000000000001
2000-12-21,0.0
2000-12-22,-0.7246
2001-01-05,0.0
2001-01-11,3.6496
2002-01-04,-6.338
2002-02-11,5.2632
2002-08-23,0.4286
2002-08-26,3.8407
2002-08-28,-3.6986
2002-11-12,-5.2347
2002-11-13,0.1201
2002-11-20,5.6972000000000005
2003-01-28,-7.4894
2003-02-05,1.196
2003-02-21,6.0606
2003-05-23,0.0
2003-09-11,0.0
2004-02-09,0.8571
2004-05-14,13.3144
2004-07-09,-5.1282
2004-07-15,5.0
2004-12-31,98.8417
2005-01-06,0.0
2005-02-17,-22.3301
2005-03-29,-15.0
2005-04-29,37.2549
2005-05-19,21.4286
2005-05-25,-2.3529
2005-07-19,17.284
2005-09-09,70.5263
2005-10-18,8.0247
2005-10-21,-0.2857
2005-12-29,0.2865
2006-01-05,0.0
2006-01-06,2.8571
2006-01-13,0.0
2006-01-19,2.7778
2006-01-23,-1.0811
2006-02-10,-8.7432
2006-03-01,0.5988
2006-03-07,0.0
2006-03-28,-1.7856999999999998
2006-04-03,5.4545
2006-04-06,-2.8736
2006-04-11,0.0
2006-04-20,3.5503
2006-04-24,0.0
2006-05-02,0.5714
2006-05-22,1.7045
2006-06-22,-13.1429
2006-06-23,2.6316
2006-06-26,1.2821
2006-06-27,1.8987
2006-07-12,1.8634
2006-07-13,0.6098
2006-08-14,6.0606
2006-08-22,2.2857
2006-08-29,0.5587
2006-09-25,-8.8889
2006-10-04,-2.439
2006-10-19,2.5
2006-11-07,3.0488
2006-12-28,0.5917
2007-01-09,2.3529
2007-02-28,-8.046
2007-04-09,1.875
2007-05-02,3.681
2007-05-14,-2.6627
2007-06-11,26.183
2007-06-12,0.0
2007-08-29,0.5
2007-09-19,19.403
2007-09-20,-0.4167
2007-09-24,4.6025
2007-10-01,3.6
2007-10-02,2.3166
2007-10-03,3.7736
2007-10-05,-36.7273
2007-10-16,58.046
2007-10-24,0.0
2007-11-20,5.0909
2007-11-29,3.8062
2007-12-27,0.0
2008-01-07,1.6667
2008-04-24,4.918
2008-04-28,7.8125
2008-04-29,0.0
2008-04-30,4.3478
2008-05-07,-3.8889
2008-05-08,1.1561
2008-05-13,-1.4285999999999999
2008-05-14,0.0
2008-05-15,15.942
2008-05-20,9.75
2008-05-22,-8.8838
2008-06-02,1.2821
2008-06-03,-1.2658
2008-06-06,5.1282
