ticker,HMLP US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-08-07,11.25
2014-08-08,9.2135
2014-08-11,2.4691
2014-08-12,-2.6104000000000003
2014-08-13,-2.0619
2014-08-14,2.1053
2014-08-15,2.1856
2014-08-18,-0.686
2014-08-19,-1.8285
2014-08-20,0.269
2014-08-21,0.516
2014-08-22,2.0534
2014-08-25,1.4085
2014-08-26,-0.0794
2014-08-27,1.5488
2014-08-28,-1.2515
2014-08-29,2.5347
2014-09-02,-1.6609
2014-09-03,-1.0212
2014-09-04,-2.9762
2014-09-05,2.454
2014-09-08,-1.996
2014-09-09,0.7332
2014-09-10,0.4044
2014-09-11,-0.5236
2014-09-12,-2.3482
2014-09-15,-1.1194
2014-09-16,0.2096
2014-09-17,-0.8368
2014-09-18,1.0549
2014-09-19,-0.4593
2014-09-22,-1.8037
2014-09-23,-2.3921
2014-09-24,3.0197
2014-09-25,-0.8921
2014-09-26,0.5144
2014-09-29,-0.5117
2014-09-30,-1.8003
2014-10-01,1.5714000000000001
2014-10-02,-0.7306
2014-10-03,1.2987
2014-10-06,-0.4274
2014-10-07,-1.2876
2014-10-08,-2.1739
2014-10-09,-5.1111
2014-10-10,-3.8876
2014-10-13,-6.4327
2014-10-14,0.7292
2014-10-15,0.3619
2014-10-16,3.3487999999999998
2014-10-17,-4.8355
2014-10-20,8.0671
2014-10-21,0.1939
2014-10-22,0.2419
2014-10-23,2.7992
2014-10-24,1.6432
2014-10-27,-1.1547
2014-10-28,-0.5607
2014-10-29,0.3289
2014-10-30,-0.1874
2014-10-31,-0.5472
2014-11-03,3.7125
2014-11-04,-1.285
2014-11-05,0.8833
2014-11-06,3.5484
2014-11-07,4.8509
2014-11-10,-0.8913
2014-11-11,0.8565
2014-11-12,-0.3822
2014-11-13,-4.6036
2014-11-14,-1.3852
2014-11-17,-0.3172
2014-11-18,-0.9091
2014-11-19,2.2018
2014-11-20,2.4237
2014-11-21,-7.603
2014-11-24,-6.9006
2014-11-25,4.7376000000000005
2014-11-26,-1.6051
2014-11-28,-9.046
2014-12-01,-8.4783
2014-12-02,8.3135
2014-12-03,1.6996
2014-12-04,-1.5633
2014-12-05,2.9573
2014-12-08,-8.2447
2014-12-09,-1.2174
2014-12-10,-0.4108
2014-12-11,-1.9445999999999999
2014-12-12,1.0216
2014-12-15,-0.0595
2014-12-16,2.3214
2014-12-17,5.701
2014-12-18,0.5504
2014-12-19,0.6568
2014-12-22,-0.2175
2014-12-23,0.4905
2014-12-24,-1.0304
