ticker,MELI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-08-10,58.3333
2007-08-13,11.0526
2007-08-14,-5.1185
2007-08-15,-4.8951
2007-08-16,-1.6106
2007-08-17,16.9039
2007-08-20,-7.2451
2007-08-21,-4.7588
2007-08-22,1.8952
2007-08-23,1.4542
2007-08-24,0.0
2007-08-27,-2.0
2007-08-28,-1.7006999999999999
2007-08-29,1.4879
2007-08-30,-1.9775
2007-08-31,-2.1913
2007-09-04,-0.4267
2007-09-05,1.8214000000000001
2007-09-06,4.9807
2007-09-07,-1.4367
2007-09-10,-0.678
2007-09-11,-0.7509
2007-09-12,0.3095
2007-09-13,-0.5828
2007-09-14,-1.7241
2007-09-17,-2.6316
2007-09-18,0.9009
2007-09-19,18.8571
2007-09-20,11.3582
2007-09-21,9.3362
2007-09-24,1.3327
2007-09-25,-6.9654
2007-09-26,-0.3141
2007-09-27,-3.0462
2007-09-28,-1.7873
2007-10-01,1.241
2007-10-02,7.3273
2007-10-03,6.9036
2007-10-04,-2.018
2007-10-05,-0.3877
2007-10-08,-0.2189
2007-10-09,10.629
2007-10-10,-0.9696
2007-10-11,-8.3
2007-10-12,-1.8199
2007-10-15,-4.9926
2007-10-16,-3.9282
2007-10-17,4.4679
2007-10-18,3.2659000000000002
2007-10-19,-6.3755
2007-10-22,3.5925000000000002
2007-10-23,10.8437
2007-10-24,-8.0551
2007-10-25,1.6505999999999998
2007-10-26,7.5943000000000005
2007-10-29,3.5291
2007-10-30,2.8482
2007-10-31,-2.573
2007-11-01,-7.4306
2007-11-02,7.205
2007-11-05,-1.8268
2007-11-06,4.4797
2007-11-07,-13.3685
2007-11-08,-4.7716
2007-11-09,-2.0256
2007-11-12,-4.2982
2007-11-13,16.714
2007-11-14,5.1875
2007-11-15,7.5249
2007-11-16,0.1507
2007-11-19,-3.9131
2007-11-20,-2.3943
2007-11-21,-5.5479
2007-11-23,2.8155
2007-11-26,-2.8093
2007-11-27,-0.1214
2007-11-28,6.0554
2007-11-29,-1.3988
2007-11-30,-1.3721
2007-12-03,5.4232
2007-12-04,-3.0195
2007-12-05,2.0295
2007-12-06,-0.4747
2007-12-07,-0.5905
2007-12-10,14.165
2007-12-11,-4.963
2007-12-12,6.9699
2007-12-13,5.5709
2007-12-14,14.767900000000001
2007-12-17,-1.9659
2007-12-18,-1.0937999999999999
2007-12-19,0.3686
2007-12-20,0.9516
2007-12-21,-0.678
2007-12-24,0.5661
2007-12-26,20.6126
2007-12-27,3.3631
