ticker,DRNA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-01-30,206.6667
2014-01-31,-10.6087
2014-02-03,-20.5739
2014-02-04,-7.0423
2014-02-05,10.5072
2014-02-06,1.2817
2014-02-07,4.0024
2014-02-10,2.8862
2014-02-11,5.8031
2014-02-12,1.4817
2014-02-13,0.5379
2014-02-14,-0.7389
2014-02-18,-0.9754
2014-02-19,1.7367
2014-02-20,0.2038
2014-02-21,0.4322
2014-02-24,7.2405
2014-02-25,2.4551
2014-02-26,-3.6866
2014-02-27,-1.2201
2014-02-28,-11.0681
2014-03-03,2.2603
2014-03-04,6.6844
2014-03-05,-2.6211
2014-03-06,-9.9718
2014-03-07,-1.3098
2014-03-10,5.2222
2014-03-11,5.2097999999999995
2014-03-12,-2.6323
2014-03-13,-4.1756
2014-03-14,-1.4804
2014-03-17,4.3947
2014-03-18,5.3504
2014-03-19,5.2849
2014-03-20,2.1425
2014-03-21,-11.3508
2014-03-24,-9.0049
2014-03-25,2.318
2014-03-26,-6.4769
2014-03-27,-4.9379
2014-03-28,-5.0964
2014-03-31,-2.7539
2014-04-01,-6.1593
2014-04-02,-4.9038
2014-04-03,-6.783
2014-04-04,-8.8936
2014-04-07,3.7366
2014-04-08,-7.3841
2014-04-09,5.7365
2014-04-10,-9.5632
2014-04-11,-7.9309
2014-04-14,-6.1292
2014-04-15,-5.8824
2014-04-16,1.875
2014-04-17,0.6748
2014-04-21,-1.2797
2014-04-22,9.7531
2014-04-23,-5.0056
2014-04-24,6.3351
2014-04-25,-4.2873
2014-04-28,2.4433
2014-04-29,3.6343
2014-04-30,2.8493
2014-05-01,3.4097
2014-05-02,-2.8336
2014-05-05,-1.8558
2014-05-06,-0.8644
2014-05-07,-4.2507
2014-05-08,-7.7405
2014-05-09,5.3671
2014-05-12,2.3419
2014-05-13,-5.0343
2014-05-14,-3.4337
2014-05-15,-2.932
2014-05-16,3.9203
2014-05-19,-1.5461
2014-05-20,1.7588
2014-05-21,0.4321
2014-05-22,1.4751
2014-05-23,7.3895
2014-05-27,-6.7118
2014-05-28,-1.6324
2014-05-29,1.9668
2014-05-30,-2.5919
2014-06-02,-1.1757
2014-06-03,-1.4402
2014-06-04,-0.3812
2014-06-05,0.4464
2014-06-06,4.0635
2014-06-09,7.2605
2014-06-10,12.7986
2014-06-11,1.8154
2014-06-12,-5.5968
2014-06-13,-3.5152
2014-06-16,-3.5345
2014-06-17,5.6933
2014-06-18,-0.1067
2014-06-19,-4.1111
