ticker,PHIO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-05-11,15.3846
2012-05-14,6.6667
2012-05-15,-6.25
2012-05-16,-10.0
2012-05-17,-11.1111
2012-05-18,-8.3333
2012-05-21,0.0
2012-05-22,-18.1818
2012-05-23,22.2222
2012-05-24,0.0
2012-05-25,-9.0909
2012-05-29,-10.0
2012-05-30,-20.0
2012-05-31,11.1111
2012-06-01,0.0
2012-06-04,5.0
2012-06-05,-4.7619
2012-06-06,0.0
2012-06-07,0.0
2012-06-08,6.25
2012-06-11,-5.8824
2012-06-12,0.0
2012-06-13,2.5
2012-06-14,-2.439
2012-06-15,0.0
2012-06-18,-8.5938
2012-06-19,11.8803
2012-06-20,0.2292
2012-06-21,-4.878
2012-06-22,8.9744
2012-06-25,-5.8824
2012-06-26,6.25
2012-06-27,0.0
2012-06-28,29.4118
2012-06-29,18.1818
2012-07-02,15.3846
2012-07-03,32.6667
2012-07-05,13.0653
2012-07-06,-17.7778
2012-07-09,0.0
2012-07-10,-0.8108
2012-07-11,-12.8065
2012-07-12,-1.875
2012-07-13,8.2803
2012-07-16,-2.0588
2012-07-17,-6.9069
2012-07-18,-6.4516
2012-07-19,-6.8966
2012-07-20,-7.4074
2012-07-23,4.0
2012-07-24,1.5385
2012-07-25,2.2727
2012-07-26,-7.3148
2012-07-27,-0.0999
2012-07-30,4.0
2012-07-31,-7.6923
2012-08-01,0.0
2012-08-02,0.4167
2012-08-03,-0.4149
2012-08-06,0.0
2012-08-07,-4.1667
2012-08-08,-4.3478
2012-08-09,-1.8182
2012-08-10,11.1111
2012-08-13,0.0
2012-08-14,-5.8333
2012-08-15,0.0
2012-08-16,-2.3783
2012-08-17,6.6856
2012-08-20,1.9649
2012-08-21,8.3333
2012-08-22,0.0
2012-08-23,-6.1538
2012-08-24,2.459
2012-08-27,3.85
2012-08-28,0.1444
2012-08-29,-7.6923
2012-08-30,-0.1042
2012-08-31,2.0855
2012-09-04,0.5107
2012-09-05,-2.439
2012-09-06,-0.1042
2012-09-07,-0.7299
2012-09-10,-6.7227
2012-09-11,3.6036
2012-09-12,3.4783
2012-09-13,-0.105
2012-09-14,-7.4658
2012-09-17,1.8182
2012-09-18,6.25
2012-09-19,-7.563
2012-09-20,0.0
2012-09-21,0.0
2012-09-24,4.5455
2012-09-25,-7.2826
2012-09-26,-0.4103
2012-09-27,-3.0018
2012-09-28,2.9126
2012-10-01,8.4906
2012-10-02,-4.3478
2012-10-03,5.4545
2012-10-04,-0.8621
