ticker,BEDU US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-05-18,27.619
2017-05-19,-5.0746
2017-05-22,2.9874
2017-05-23,-4.5802
2017-05-24,-7.44
2017-05-25,-3.1979
2017-05-26,1.0714
2017-05-30,2.0318
2017-05-31,1.8182
2017-06-01,5.3571
2017-06-02,0.0807
2017-06-05,-2.3387000000000002
2017-06-06,-0.3303
2017-06-07,2.237
2017-06-08,4.5381
2017-06-09,0.0
2017-06-12,-4.1085
2017-06-13,2.5061
2017-06-14,-0.6309
2017-06-15,-3.0952
2017-06-16,-1.7199
2017-06-19,0.0
2017-06-20,1.3333
2017-06-21,1.3158
2017-06-22,1.1364
2017-06-23,0.6421
2017-06-26,-2.3125999999999998
2017-06-27,0.0
2017-06-28,0.0
2017-06-29,-2.0408
2017-06-30,-0.8333
2017-07-03,0.4202
2017-07-05,-1.1715
2017-07-06,1.6088
2017-07-07,-0.3333
2017-07-10,-0.5017
2017-07-11,0.7563
2017-07-12,-0.7506
2017-07-13,0.5882
2017-07-14,14.1186
2017-07-17,-4.9048
2017-07-18,2.4634
2017-07-19,-0.8264
2017-07-20,4.7727
2017-07-21,5.4953
2017-07-24,4.5236
2017-07-25,-4.5902
2017-07-26,1.7182
2017-07-27,1.8243
2017-07-28,2.9861
2017-07-31,1.6108
2017-08-01,3.8681
2017-08-02,-2.442
2017-08-03,-0.8135
2017-08-04,-0.9464
2017-08-07,-0.8917
2017-08-08,0.7712
2017-08-09,0.0
2017-08-10,3.9541
2017-08-11,-3.865
2017-08-14,5.4244
2017-08-15,-3.8741
2017-08-16,4.2191
2017-08-17,-2.719
2017-08-18,4.9689
2017-08-21,2.3669000000000002
2017-08-22,0.0
2017-08-23,-0.4046
2017-08-24,0.2322
2017-08-25,4.227
2017-08-28,-2.7778
2017-08-29,3.2
2017-08-30,2.4363
2017-08-31,-0.7568
2017-09-01,1.4161000000000001
2017-09-05,-2.8464
2017-09-06,1.1609
2017-09-07,5.2459
2017-09-08,-0.4154
2017-09-11,2.8676
2017-09-12,3.4465
2017-09-13,5.4875
2017-09-14,-1.3934
2017-09-15,1.7899
2017-09-18,1.2957
2017-09-19,-0.137
2017-09-20,4.3001
2017-09-21,-0.9211
2017-09-22,14.0328
2017-09-25,-9.3556
2017-09-26,6.7238
2017-09-27,0.2408
2017-09-28,-7.9263
2017-09-29,1.0
2017-10-02,2.0232
2017-10-03,1.6878
2017-10-04,-0.249
2017-10-05,6.4892
2017-10-06,5.4688
2017-10-09,0.0
