ticker,ZVTK US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-06-11,166.6667
2007-06-15,-25.0
2007-06-18,-40.6667
2007-06-19,-38.2022
2007-06-20,0.0
2007-06-25,27.2727
2007-06-26,0.0
2007-06-27,-35.7143
2007-06-28,-55.5556
2007-06-29,275.0
2007-07-02,13.3333
2007-07-03,-23.5294
2007-07-05,-23.0769
2007-07-06,0.0
2007-07-09,0.0
2007-07-10,-20.0
2007-07-11,1.25
2007-07-12,0.0
2007-07-13,8.642
2007-07-16,-9.0909
2007-07-17,-17.5
2007-07-18,0.0
2007-07-19,0.0
2007-07-20,-9.0909
2007-07-23,-13.3333
2007-07-24,-42.3077
2007-07-25,0.0
2007-07-26,8.6667
2007-07-27,-14.1104
2007-07-30,-39.2857
2007-07-31,-5.8824
2007-08-01,0.0
2007-08-02,25.0
2007-08-03,-29.0
2007-08-06,5.6338
2007-08-07,-13.3333
2007-08-08,3.0769
2007-08-09,-2.9851
2007-08-10,-7.6923
2007-08-13,-8.3333
2007-08-14,-38.1818
2007-08-15,-14.7059
2007-08-16,-3.4483
2007-08-17,-6.6964
2007-08-20,56.9378
2007-08-21,82.9268
2007-08-22,-6.6667
2007-08-23,0.0
2007-08-24,0.0
2007-08-27,-35.7143
2007-08-29,-31.1111
2007-08-30,61.2903
2007-08-31,0.0
2007-09-04,-15.75
2007-09-07,18.6944
2007-09-10,0.0
2007-09-11,18.0
2007-09-12,-6.7797
2007-09-14,-27.2727
2007-09-17,5.0
2007-09-18,0.0
2007-09-21,-16.6667
2007-09-24,20.0
2007-09-25,0.0
2007-09-26,-9.5238
2007-09-27,0.0
2007-10-01,-7.8947
2007-10-04,-14.2857
2007-10-05,16.6667
2007-10-09,-14.2857
2007-10-10,-16.6667
2007-10-11,4.0
2007-10-16,15.3846
2007-10-18,-33.3333
2007-10-23,35.0
2007-10-24,0.0
2007-10-25,7.4074
2007-10-26,37.931
2007-10-29,0.0
2007-10-31,-25.0
2007-11-02,-6.6667
2007-11-05,42.8571
2007-11-06,-4.6875
2007-11-07,-22.623
2007-11-08,-11.8644
2007-11-09,-3.8462
2007-11-12,-6.0
2007-11-13,-2.1277
2007-11-14,-30.4348
2007-11-15,18.75
2007-11-16,0.0
2007-11-19,-26.3158
2007-11-20,-35.7143
2007-11-21,-11.1111
2007-11-23,25.0
2007-11-26,6.875
2007-11-27,-20.4678
2007-11-28,-23.5294
2007-11-29,-7.6923
2007-11-30,-31.25
2007-12-03,45.4545
2007-12-04,316.6667
