ticker,HQI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2002-06-19,-14.2857
2002-06-25,4.1667
2002-06-28,-4.0
2002-07-03,0.0
2002-08-06,2.5
2002-08-07,-0.813
2002-08-08,-1.6393
2002-08-09,3.3333
2002-08-12,-1.6129
2002-09-09,-5.7377
2002-09-10,8.6957
2002-09-19,-12.0
2002-09-30,0.0
2002-10-16,-13.6364
2003-01-09,-16.8421
2003-02-04,6.3291
2003-02-26,-5.9524
2003-03-03,2.5316
2003-03-12,-4.9383
2003-03-13,3.8961
2003-03-19,0.0
2003-03-21,0.0
2003-03-24,-3.75
2003-03-25,3.8961
2003-03-26,-3.75
2003-04-02,0.0
2003-04-11,0.0
2003-04-15,3.8961
2003-04-23,-3.75
2003-06-20,-9.0909
2003-08-11,0.0
2003-08-21,14.2857
2003-09-03,-6.25
2003-09-05,33.3333
2003-09-19,-15.0
2003-09-23,11.7647
2003-10-03,15.7895
2003-10-06,-4.5455
2003-10-07,4.7619
2003-10-23,0.0
2003-10-27,2.7273
2003-11-05,-6.1947
2003-11-07,9.434
2003-11-10,-0.8621
2003-11-12,-7.8261
2003-11-17,0.0
2004-01-13,-19.8113
2004-01-14,5.8824
2004-04-28,-33.3333
2004-05-25,0.0
2004-05-26,1.0
2004-06-10,-25.7426
2004-07-20,17.7778
2004-07-27,-8.6792
2004-08-10,-9.0909
2004-08-13,0.4545
2004-08-18,13.1222
2004-10-05,-10.0
2004-10-06,44.4444
2004-10-08,-7.6923
2004-10-27,-16.6667
2004-10-28,0.0
2004-11-01,12.0
2004-11-02,0.0
2004-11-17,0.0
2004-11-18,-8.9286
2004-11-19,1.9607999999999999
2004-11-29,11.538499999999999
2004-12-01,-1.7241
2004-12-15,5.2632
2004-12-20,-8.3333
2004-12-21,9.0909
2004-12-22,8.3333
2004-12-27,7.6923
2004-12-29,7.1429
2005-01-05,-13.3333
2005-01-11,12.3077
2005-01-14,16.4384
2005-01-18,-8.2353
2005-01-19,5.1282
2005-01-20,-1.2195
2005-01-26,4.9383
2005-01-31,-5.8824
2005-02-10,10.0
2005-02-11,13.6364
2005-02-14,0.0
2005-02-24,-10.0
2005-02-25,0.0
2005-02-28,0.0
2005-04-08,-11.1111
2005-06-13,-18.75
2005-07-12,20.0
2005-08-09,0.0
2005-08-10,20.5128
2005-08-15,-4.2553
2005-08-18,-5.5556
2005-08-22,29.4118
2005-08-24,-13.6364
2005-08-29,15.7895
2005-08-30,0.0
2005-08-31,0.0
2005-09-01,6.1364
