ticker,REXR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-07-19,0.2857
2013-07-22,-0.2849
2013-07-23,0.6429
2013-07-24,-0.4968
2013-07-25,0.0713
2013-07-26,0.7128
2013-07-29,-0.6369
2013-07-30,-0.2137
2013-07-31,0.1428
2013-08-01,-0.1541
2013-08-02,-0.0598
2013-08-05,0.0714
2013-08-06,-0.4283
2013-08-07,-0.9319
2013-08-08,-1.3748
2013-08-09,-1.2472
2013-08-12,1.0401
2013-08-13,2.2059
2013-08-14,0.6475
2013-08-15,-2.8592
2013-08-16,2.0603
2013-08-19,-3.2444
2013-08-20,1.3413
2013-08-21,-3.0882
2013-08-22,0.8346
2013-08-23,2.3326000000000002
2013-08-26,-0.4412
2013-08-27,0.8863
2013-08-28,-2.7818
2013-08-29,-0.0753
2013-08-30,-0.6782
2013-09-03,2.8073
2013-09-04,-0.1476
2013-09-05,-2.0695
2013-09-06,-0.4528
2013-09-09,1.9712
2013-09-10,0.5948
2013-09-11,-0.813
2013-09-12,1.1923
2013-09-13,0.6627
2013-09-16,2.1214
2013-09-17,0.0716
2013-09-18,0.859
2013-09-19,-0.9936
2013-09-20,-3.5842
2013-09-23,3.197
2013-09-24,-0.6484
2013-09-25,1.3053
2013-09-26,-0.2147
2013-09-27,-1.5782
2013-09-30,-1.5306
2013-10-01,1.3323
2013-10-02,-0.4383
2013-10-03,0.1467
2013-10-04,-0.9524
2013-10-07,-0.9615
2013-10-08,-1.7924
2013-10-09,0.5323
2013-10-10,1.2103
2013-10-11,0.4484
2013-10-14,1.1905000000000001
2013-10-15,-0.2941
2013-10-16,-0.1475
2013-10-17,0.3693
2013-10-18,0.6623
2013-10-21,-0.8041
2013-10-22,0.7369
2013-10-23,0.1463
2013-10-24,0.9496
2013-10-25,2.3878
2013-10-28,-0.7067
2013-10-29,-0.2847
2013-10-30,-0.0714
2013-10-31,-2.7143
2013-11-01,0.2203
2013-11-04,-0.3663
2013-11-05,-0.5147
2013-11-06,0.2217
2013-11-07,-0.4425
2013-11-08,-3.1852
2013-11-11,0.0
2013-11-12,0.306
2013-11-13,0.8391
2013-11-14,1.7398
2013-11-15,0.7435
2013-11-18,2.2878
2013-11-19,-1.0101
2013-11-20,0.5102
2013-11-21,0.5076
2013-11-22,-0.4329
2013-11-25,-0.2899
2013-11-26,0.7267
2013-11-27,0.4329
2013-11-29,0.0718
2013-12-02,0.2154
2013-12-03,-1.2178
2013-12-04,0.4351
2013-12-05,0.2166
2013-12-06,0.7205
