ticker,DAN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-02-01,-9.2857
2008-02-04,0.3937
2008-02-05,-6.2745
2008-02-06,3.7657
2008-02-07,-4.8387
2008-02-08,-2.9237
2008-02-11,-10.693999999999999
2008-02-12,0.1955
2008-02-13,3.9024
2008-02-14,4.6948
2008-02-15,5.3812
2008-02-19,-2.1277
2008-02-20,-1.3043
2008-02-21,0.8811
2008-02-22,0.0
2008-02-25,0.4367
2008-02-26,1.3043
2008-02-27,3.0043
2008-02-28,-1.25
2008-02-29,-0.4219
2008-03-03,-1.6949
2008-03-04,1.9828000000000001
2008-03-05,-0.2536
2008-03-06,-3.5593
2008-03-07,-0.703
2008-03-10,-2.6549
2008-03-11,-10.0
2008-03-12,1.5152
2008-03-13,-0.4975
2008-03-14,-1.0
2008-03-17,-4.8485
2008-03-18,-2.4416
2008-03-19,-2.9379999999999997
2008-03-20,-1.5695000000000001
2008-03-24,5.3531
2008-03-25,1.8378
2008-03-26,-0.7431
2008-03-27,4.8128
2008-03-28,2.6531000000000002
2008-03-31,-0.5964
2008-04-01,2.5
2008-04-02,-1.6585
2008-04-03,1.6865
2008-04-04,-0.4878
2008-04-07,0.4902
2008-04-08,2.439
2008-04-09,-0.9524
2008-04-10,1.4423
2008-04-11,-2.0853
2008-04-14,-0.3872
2008-04-15,-2.7211
2008-04-16,-0.0999
2008-04-17,3.1
2008-04-18,3.3948
2008-04-21,-5.0657
2008-04-22,1.7787
2008-04-23,-1.6505
2008-04-24,1.6782
2008-04-25,3.3981
2008-04-28,5.1643
2008-04-29,8.0357
2008-04-30,-1.157
2008-05-01,2.0067
2008-05-02,0.082
2008-05-05,-2.2932
2008-05-06,-2.0956
2008-05-07,-2.3116
2008-05-08,-0.7011
2008-05-09,0.9709
2008-05-12,2.2727
2008-05-13,4.7009
2008-05-14,-0.7347
2008-05-15,0.5757
2008-05-16,-0.8177
2008-05-19,-2.2259
2008-05-20,-0.5059
2008-05-21,-2.1186
2008-05-22,-8.3983
2008-05-23,0.0945
2008-05-27,-1.2276
2008-05-28,-0.2868
2008-05-29,0.5753
2008-05-30,1.0486
2008-06-02,-0.8491
2008-06-03,-1.9981
2008-06-04,-0.4854
2008-06-05,-0.6829
2008-06-06,-0.8841
2008-06-09,-3.2706
2008-06-10,-2.7664
2008-06-11,-7.2708
2008-06-12,2.2727
2008-06-13,-1.4444
2008-06-16,0.451
2008-06-17,-1.6835
2008-06-18,-1.3699
2008-06-19,-7.1759
