ticker,NCTY US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2004-12-15,23.5294
2004-12-16,6.0
2004-12-17,5.5256
2004-12-20,-2.5117000000000003
2004-12-21,-5.2402
2004-12-22,-0.9217
2004-12-23,-0.4651
2004-12-27,-0.6542
2004-12-28,-0.0423
2004-12-29,11.0536
2004-12-30,2.1186
2004-12-31,-1.9917
2005-01-03,-4.7417
2005-01-04,-5.3778
2005-01-05,-0.6576
2005-01-06,-2.6005000000000003
2005-01-07,-0.4854
2005-01-10,4.7805
2005-01-11,-2.6629
2005-01-12,-4.3428
2005-01-13,0.75
2005-01-14,0.7444
2005-01-18,-0.2463
2005-01-19,-4.1975
2005-01-20,-5.9277999999999995
2005-01-21,-0.2192
2005-01-24,-5.1565
2005-01-25,3.6419
2005-01-26,4.3017
2005-01-27,3.1066
2005-01-28,0.1039
2005-01-31,7.9398
2005-02-01,6.4904
2005-02-02,-0.6772
2005-02-03,1.1818
2005-02-04,2.4259
2005-02-07,-4.4737
2005-02-08,-3.5354
2005-02-09,3.5221
2005-02-10,-2.9885
2005-02-11,-0.6635
2005-02-14,2.4332
2005-02-15,-1.4905
2005-02-16,-0.331
2005-02-17,-4.1746
2005-02-18,0.9901
2005-02-22,2.9412000000000003
2005-02-23,4.2857
2005-02-24,-15.9361
2005-02-25,3.2048
2005-02-28,-4.6316
2005-03-01,1.1038000000000001
2005-03-02,2.1288
2005-03-03,1.8707
2005-03-04,-1.5739999999999998
2005-03-07,1.1727
2005-03-08,-5.1633
2005-03-09,-1.3889
2005-03-10,-2.8169
2005-03-11,-0.8696
2005-03-14,1.4035
2005-03-15,1.0381
2005-03-16,-3.1393
2005-03-17,0.4714
2005-03-18,0.0587
2005-03-21,-1.2309
2005-03-22,0.0
2005-03-23,2.0178
2005-03-24,-0.1745
2005-03-28,2.6224
2005-03-29,-2.8961
2005-03-30,1.7544
2005-03-31,-2.0115
2005-04-01,-1.7008999999999999
2005-04-04,-4.4153
2005-04-05,-6.4295
2005-04-06,2.6017
2005-04-07,7.0871
2005-04-08,0.7893
2005-04-11,1.3916
2005-04-12,0.8259
2005-04-13,-0.1179
2005-04-14,1.4748999999999999
2005-04-15,-1.3953
2005-04-18,3.3019
2005-04-19,-0.1712
2005-04-20,0.0572
2005-04-21,2.5143
2005-04-22,-0.7804
2005-04-25,1.4607
2005-04-26,0.6091
2005-04-27,-0.3853
2005-04-28,-0.0552
2005-04-29,1.1609
2005-05-02,3.8251
2005-05-03,0.1579
